Date,blockchain/utxo_created_value_mean
2010-09-15,81.1468966383893
2010-09-16,85.7504896421845
2010-09-17,204.043166666667
2010-09-18,119.552974137931
2010-09-19,142.219999084342
2010-09-20,86.460033444816
2010-09-21,30.8248387097623
2010-09-22,54.2535467479675
2010-09-23,162.703282352941
2010-09-24,48.8773608903021
2010-09-25,58.0664265129683
2010-09-26,64.6927075098814
2010-09-27,56.0287624999999
2010-09-28,143.064581446822
2010-09-29,62.9056984615383
2010-09-30,98.6190120967743
2010-10-01,70.7976267393561
2010-10-02,491.194204751172
2010-10-03,150.19272984633
2010-10-04,968.492938146031
2010-10-05,377.399584906038
2010-10-06,240.836037039055
2010-10-07,306.264909502262
2010-10-08,326.940304878049
2010-10-09,348.136528776979
2010-10-10,266.418682008368
2010-10-11,138.650573953841
2010-10-12,178.428170478171
2010-10-13,251.126102040816
2010-10-14,399.489490445859
2010-10-15,363.738852459016
2010-10-16,379.65987410268
2010-10-17,213.645779334501
2010-10-18,292.615992366413
2010-10-19,199.593906810036
2010-10-20,209.92285009862
2010-10-21,247.286963041909
2010-10-22,154.597666290868
2010-10-23,69.6581610738255
2010-10-24,152.781394422311
2010-10-25,293.843394495413
2010-10-26,267.117002762431
2010-10-27,261.069004914005
2010-10-28,296.378417910447
2010-10-29,158.089902439025
2010-10-30,135.669923664122
2010-10-31,200.152113821138
2010-11-01,116.152840909091
2010-11-02,207.94778425656
2010-11-03,154.604604651163
2010-11-04,411.969829846617
2010-11-05,97.174
2010-11-06,279.340162601626
2010-11-07,189.578640595903
2010-11-08,817.185700636942
2010-11-09,124.735498007968
2010-11-10,135.227480314961
2010-11-11,109.517729166667
2010-11-12,124.306194690265
2010-11-13,124.698632911392
2010-11-14,97.2074193548387
2010-11-15,31.3025330878122
2010-11-16,32.9187184927436
2010-11-17,139.648255159475
2010-11-18,45.6457167746878
2010-11-19,6.35837904468414
2010-11-20,16.4210575582553
2010-11-21,12.9740589038424
2010-11-22,87.5074115044247
2010-11-23,107.661887201735
2010-11-24,11.4607775899541
2010-11-25,11.4693693520477
2010-11-26,53.7574537540805
2010-11-27,52.9934076433121
2010-11-28,48.5725258493353
2010-11-29,75.2331333333333
2010-11-30,113.394318181818
2010-12-01,85.8117976031957
2010-12-02,110.917503924647
2010-12-03,73.1872332015811
2010-12-04,136.157676687567
2010-12-05,59.4951693404635
2010-12-06,177.180403496672
2010-12-07,124.9068196511
2010-12-08,57.1489893888033
2010-12-09,81.7722366960518
2010-12-10,63.7754409005629
2010-12-11,97.0636480546709
2010-12-12,55.0205824668262
2010-12-13,177.749817918182
2010-12-14,128.331286253813
2010-12-15,134.037679977162
2010-12-16,121.129057807341
2010-12-17,110.852331037236
2010-12-18,120.198441031291
2010-12-19,133.858910031923
2010-12-20,57.7550710233479
2010-12-21,115.513308703569
2010-12-22,86.3079138261714
2010-12-23,77.2683370044054
2010-12-24,79.7721264478235
2010-12-25,116.455348826294
2010-12-26,81.3578271670631
2010-12-27,123.538582873849
2010-12-28,61.2142934690969
2010-12-29,153.8741377023
2010-12-30,79.7495768400874
2010-12-31,79.0591022840867
2011-01-01,62.4840905272887
2011-01-02,64.8464040627667
2011-01-03,46.3172755480159
2011-01-04,33.5507221860937
2011-01-05,30.1936677288107
2011-01-06,36.344890382067
2011-01-07,41.9625644161633
2011-01-08,32.0403561253561
2011-01-09,25.6395332365213
2011-01-10,47.3254738124174
2011-01-11,55.7318991481146
2011-01-12,40.5821766925361
2011-01-13,70.0818708608558
2011-01-14,51.5946261119311
2011-01-15,40.8441802198804
2011-01-16,47.1649239235021
2011-01-17,48.4248094151149
2011-01-18,81.1694930547859
2011-01-19,43.6135870339424
2011-01-20,39.6982214705556
2011-01-21,35.0134597810754
2011-01-22,32.5372134954781
2011-01-23,48.110434806634
2011-01-24,34.578844703923
2011-01-25,42.0582702597169
2011-01-26,44.5317590936195
2011-01-27,747.819239468953
2011-01-28,29.0469897684437
2011-01-29,32.8558236891359
2011-01-30,82.2038312717627
2011-01-31,79.8697818349151
2011-02-01,75.8536587823271
2011-02-02,81.0394880449268
2011-02-03,55.7324852705895
2011-02-04,40.2112569970569
2011-02-05,57.0178171695428
2011-02-06,56.9464530385282
2011-02-07,112.649041172056
2011-02-08,53.7430097350465
2011-02-09,65.209254533308
2011-02-10,62.7686460863435
2011-02-11,61.9129579651552
2011-02-12,42.5979548943769
2011-02-13,35.8650402827624
2011-02-14,39.8565892304242
2011-02-15,26.5941584402762
2011-02-16,22.3779044563909
2011-02-17,27.0398085124524
2011-02-18,36.286283377275
2011-02-19,67.2818244468625
2011-02-20,66.227714201878
2011-02-21,68.2439406053682
2011-02-22,92.7570161876706
2011-02-23,94.2922419720372
2011-02-24,61.5802354963026
2011-02-25,51.4443102537846
2011-02-26,53.1945493917702
2011-02-27,51.3175421986048
2011-02-28,43.7631430921553
2011-03-01,207.545597276202
2011-03-02,689.12175375919
2011-03-03,40.1084527449073
2011-03-04,92.1656368208464
2011-03-05,40.7974575019127
2011-03-06,56.0237183994133
2011-03-07,64.4227475510118
2011-03-08,44.0785300829576
2011-03-09,76.6010927600637
2011-03-10,114.018358640944
