Date,blockchain/block_interval_median
2011-01-07,288.0
2011-01-08,363.0
2011-01-09,374.0
2011-01-10,391.0
2011-01-11,421.0
2011-01-12,345.0
2011-01-13,294.0
2011-01-14,264.0
2011-01-15,395.0
2011-01-16,369.0
2011-01-17,364.0
2011-01-18,492.0
2011-01-19,365.0
2011-01-20,365.0
2011-01-21,316.0
2011-01-22,408.0
2011-01-23,341.0
2011-01-24,344.0
2011-01-25,415.0
2011-01-26,283.0
2011-01-27,429.0
2011-01-28,382.0
2011-01-29,363.0
2011-01-30,384.0
2011-01-31,348.0
2011-02-01,368.0
2011-02-02,369.0
2011-02-03,326.0
2011-02-04,290.0
2011-02-05,400.0
2011-02-06,376.0
2011-02-07,299.0
2011-02-08,346.0
2011-02-09,326.0
2011-02-10,273.0
2011-02-11,319.0
2011-02-12,277.0
2011-02-13,323.0
2011-02-14,337.0
2011-02-15,278.0
2011-02-16,297.0
2011-02-17,281.0
2011-02-18,277.0
2011-02-19,372.0
2011-02-20,321.0
2011-02-21,345.0
2011-02-22,308.0
2011-02-23,271.0
2011-02-24,278.0
2011-02-25,295.0
2011-02-26,240.0
2011-02-27,244.0
2011-02-28,416.0
2011-03-01,454.0
2011-03-02,378.0
2011-03-03,345.0
2011-03-04,283.0
2011-03-05,239.0
2011-03-06,248.0
2011-03-07,270.0
2011-03-08,320.0
2011-03-09,342.0
2011-03-10,617.0
2011-03-11,536.0
2011-03-12,472.0
2011-03-13,503.0
2011-03-14,536.0
2011-03-15,630.0
2011-03-16,483.0
2011-03-17,370.0
2011-03-18,443.0
2011-03-19,558.0
2011-03-20,446.0
2011-03-21,400.0
2011-03-22,528.0
2011-03-23,384.0
2011-03-24,384.0
2011-03-25,387.0
2011-03-26,408.0
2011-03-27,449.0
2011-03-28,337.0
2011-03-29,344.0
2011-03-30,377.0
2011-03-31,350.0
2011-04-01,375.0
2011-04-02,348.0
2011-04-03,398.0
2011-04-04,327.0
2011-04-05,276.0
2011-04-06,398.0
2011-04-07,421.0
2011-04-08,373.0
2011-04-09,342.0
2011-04-10,371.0
2011-04-11,384.0
2011-04-12,372.0
2011-04-13,326.0
2011-04-14,374.0
2011-04-15,415.0
2011-04-16,335.0
2011-04-17,319.0
2011-04-18,409.0
2011-04-19,327.0
2011-04-20,453.0
2011-04-21,431.0
2011-04-22,350.0
2011-04-23,350.0
2011-04-24,361.0
2011-04-25,289.0
2011-04-26,325.0
2011-04-27,333.0
2011-04-28,347.0
2011-04-29,312.0
2011-04-30,317.0
2011-05-01,334.0
2011-05-02,279.0
2011-05-03,307.0
2011-05-04,336.0
2011-05-05,285.0
2011-05-06,273.0
2011-05-07,281.0
2011-05-08,284.0
2011-05-09,240.0
2011-05-10,346.0
2011-05-11,323.0
2011-05-12,352.0
2011-05-13,274.0
2011-05-14,261.0
2011-05-15,278.0
2011-05-16,241.0
2011-05-17,248.0
2011-05-18,204.0
2011-05-19,340.0
2011-05-20,260.0
2011-05-21,261.0
2011-05-22,212.0
2011-05-23,232.0
2011-05-24,195.0
2011-05-25,192.0
2011-05-26,218.0
2011-05-27,353.0
2011-05-28,374.0
2011-05-29,304.0
2011-05-30,396.0
2011-05-31,436.0
2011-06-01,321.0
2011-06-02,314.0
2011-06-03,313.0
2011-06-04,276.0
2011-06-05,317.0
2011-06-06,246.0
2011-06-07,348.0
2011-06-08,359.0
2011-06-09,282.0
2011-06-10,258.0
2011-06-11,262.0
2011-06-12,262.0
2011-06-13,220.0
2011-06-14,238.0
2011-06-15,223.0
2011-06-16,342.0
2011-06-17,328.0
2011-06-18,323.0
2011-06-19,279.0
2011-06-20,259.0
2011-06-21,253.0
2011-06-22,254.0
2011-06-23,263.0
2011-06-24,256.0
2011-06-25,440.0
2011-06-26,377.0
2011-06-27,329.0
2011-06-28,360.0
2011-06-29,352.0
2011-06-30,339.0
2011-07-01,389.0
2011-07-02,372.0
2011-07-03,392.0
2011-07-04,386.0
2011-07-05,386.0
2011-07-06,394.0
2011-07-07,505.0
2011-07-08,395.0
2011-07-09,427.0
2011-07-10,408.0
2011-07-11,351.0
2011-07-12,411.0
2011-07-13,327.0
2011-07-14,369.0
2011-07-15,373.0
2011-07-16,405.0
2011-07-17,392.0
2011-07-18,324.0
2011-07-19,480.0
2011-07-20,462.0
2011-07-21,363.0
2011-07-22,364.0
2011-07-23,412.0
2011-07-24,419.0
2011-07-25,373.0
2011-07-26,355.0
2011-07-27,341.0
2011-07-28,413.0
2011-07-29,388.0
2011-07-30,362.0
2011-07-31,317.0
2011-08-01,395.0
2011-08-02,400.0
2011-08-03,466.0
2011-08-04,416.0
2011-08-05,537.0
2011-08-06,485.0
2011-08-07,441.0
2011-08-08,421.0
2011-08-09,404.0
2011-08-10,391.0
2011-08-11,438.0
2011-08-12,494.0
2011-08-13,471.0
2011-08-14,452.0
2011-08-15,577.0
2011-08-16,449.0
2011-08-17,398.0
2011-08-18,414.0
2011-08-19,550.0
2011-08-20,355.0
2011-08-21,420.0
2011-08-22,330.0
2011-08-23,442.0
2011-08-24,484.0
2011-08-25,456.0
2011-08-26,342.0
2011-08-27,456.0
2011-08-28,472.0
2011-08-29,400.0
2011-08-30,439.0
2011-08-31,376.0
2011-09-01,541.0
2011-09-02,378.0
2011-09-03,438.0
2011-09-04,547.0
2011-09-05,408.0
2011-09-06,391.0
2011-09-07,442.0
2011-09-08,431.0
2011-09-09,391.0
2011-09-10,491.0
2011-09-11,430.0
2011-09-12,492.0
2011-09-13,402.0
2011-09-14,438.0
2011-09-15,379.0
2011-09-16,508.0
2011-09-17,455.0
2011-09-18,349.0
2011-09-19,454.0
2011-09-20,422.0
2011-09-21,436.0
2011-09-22,467.0
2011-09-23,467.0
2011-09-24,520.0
2011-09-25,484.0
2011-09-26,410.0
2011-09-27,441.0
2011-09-28,402.0
2011-09-29,537.0
2011-09-30,537.0
2011-10-01,439.0
2011-10-02,548.0
2011-10-03,411.0
2011-10-04,581.0
2011-10-05,429.0
2011-10-06,494.0
2011-10-07,523.0
2011-10-08,493.0
2011-10-09,524.0
2011-10-10,504.0
2011-10-11,585.0
2011-10-12,466.0
2011-10-13,552.0
2011-10-14,479.0
2011-10-15,479.0
2011-10-16,506.0
2011-10-17,490.0
2011-10-18,519.0
2011-10-19,479.0
2011-10-20,549.0
2011-10-21,520.0
2011-10-22,721.0
2011-10-23,423.0
2011-10-24,574.0
2011-10-25,522.0
2011-10-26,566.0
2011-10-27,550.0
2011-10-28,553.0
2011-10-29,519.0
2011-10-30,600.0
2011-10-31,488.0
2011-11-01,440.0
2011-11-02,400.0
2011-11-03,553.0
2011-11-04,391.0
2011-11-05,375.0
2011-11-06,423.0
2011-11-07,428.0
2011-11-08,413.0
2011-11-09,322.0
2011-11-10,451.0
2011-11-11,566.0
2011-11-12,431.0
2011-11-13,352.0
2011-11-14,457.0
2011-11-15,323.0
2011-11-16,422.0
2011-11-17,401.0
2011-11-18,480.0
2011-11-19,498.0
2011-11-20,481.0
2011-11-21,425.0
2011-11-22,435.0
2011-11-23,407.0
2011-11-24,506.0
2011-11-25,484.0
2011-11-26,493.0
2011-11-27,455.0
2011-11-28,516.0
2011-11-29,362.0
2011-11-30,306.0
2011-12-01,365.0
2011-12-02,370.0
2011-12-03,418.0
2011-12-04,462.0
2011-12-05,461.0
2011-12-06,311.0
2011-12-07,527.0
2011-12-08,348.0
2011-12-09,489.0
2011-12-10,343.0
2011-12-11,387.0
2011-12-12,536.0
2011-12-13,426.0
2011-12-14,384.0
2011-12-15,525.0
2011-12-16,453.0
2011-12-17,378.0
2011-12-18,426.0
2011-12-19,404.0
2011-12-20,491.0
2011-12-21,356.0
2011-12-22,393.0
2011-12-23,449.0
2011-12-24,412.0
2011-12-25,380.0
2011-12-26,360.0
2011-12-27,395.0
2011-12-28,436.0
2011-12-29,515.0
2011-12-30,447.0
2011-12-31,412.0
2012-01-01,398.0
2012-01-02,408.0
2012-01-03,423.0
2012-01-04,414.0
2012-01-05,392.0
2012-01-06,365.0
2012-01-07,284.0
2012-01-08,333.0
2012-01-09,340.0
2012-01-10,391.0
2012-01-11,422.0
2012-01-12,429.0
2012-01-13,400.0
2012-01-14,414.0
2012-01-15,519.0
2012-01-16,335.0
2012-01-17,401.0
2012-01-18,433.0
2012-01-19,424.0
2012-01-20,397.0
2012-01-21,299.0
2012-01-22,391.0
2012-01-23,367.0
2012-01-24,481.0
2012-01-25,443.0
2012-01-26,429.0
2012-01-27,426.0
2012-01-28,449.0
2012-01-29,409.0
2012-01-30,340.0
2012-01-31,419.0
2012-02-01,450.0
2012-02-02,446.0
2012-02-03,431.0
2012-02-04,392.0
2012-02-05,456.0
2012-02-06,415.0
2012-02-07,467.0
2012-02-08,414.0
2012-02-09,417.0
2012-02-10,497.0
2012-02-11,363.0
2012-02-12,422.0
2012-02-13,434.0
2012-02-14,447.0
2012-02-15,476.0
2012-02-16,418.0
2012-02-17,374.0
2012-02-18,329.0
2012-02-19,391.0
2012-02-20,463.0
2012-02-21,405.0
2012-02-22,416.0
2012-02-23,359.0
2012-02-24,456.0
2012-02-25,371.0
2012-02-26,398.0
2012-02-27,403.0
2012-02-28,354.0
2012-02-29,341.0
2012-03-01,426.0
2012-03-02,434.0
2012-03-03,463.0
2012-03-04,458.0
2012-03-05,473.0
2012-03-06,523.0
2012-03-07,369.0
2012-03-08,413.0
2012-03-09,394.0
2012-03-10,345.0
2012-03-11,450.0
2012-03-12,424.0
2012-03-13,364.0
2012-03-14,512.0
2012-03-15,481.0
2012-03-16,405.0
2012-03-17,334.0
2012-03-18,402.0
2012-03-19,394.0
2012-03-20,403.0
2012-03-21,335.0
2012-03-22,351.0
2012-03-23,499.0
2012-03-24,348.0
2012-03-25,440.0
2012-03-26,428.0
2012-03-27,408.0
2012-03-28,447.0
