Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-11-02,"1492,9","1499,94","1487,73","1496,55",4048270000,0,0
2017-11-03,"1496,32","1497,14","1490,66","1494,91",3567710000,0,0
2017-11-06,"1495,03","1501,49","1494,74","1497,96",3539080000,0,0
2017-11-07,"1497,98","1498,0","1476,72","1479,09",3809650000,0,0
2017-11-08,"1477,95","1482,86","1469,34","1481,73",3899360000,0,0
2017-11-09,"1481,29","1481,62","1463,49","1475,02",3831610000,0,0
2017-11-10,"1474,92","1479,11","1473,14","1475,27",3486910000,0,0
2017-11-13,"1474,44","1476,68","1466,09","1475,07",3402930000,0,0
2017-11-14,"1474,27","1474,27","1465,38","1471,26",3641760000,0,0
2017-11-15,"1470,9","1470,9","1454,17","1464,09",3558890000,0,0
2017-11-16,"1464,97","1490,97","1464,97","1486,88",3312710000,0,0
2017-11-17,"1485,7","1496,86","1481,09","1492,82",3300160000,0,0
2017-11-20,"1492,93","1503,4","1492,93","1503,4",3003540000,0,0
2017-11-21,"1503,45","1519,53","1503,45","1518,89",3332720000,0,0
2017-11-22,"1518,98","1524,18","1516,76","1516,76",2762950000,0,0
2017-11-24,"1517,41","1521,38","1516,52","1519,16",1349780000,0,0
2017-11-27,"1519,17","1522,03","1513,19","1513,31",3006860000,0,0
2017-11-28,"1514,15","1536,63","1514,15","1536,43",3488420000,0,0
2017-11-29,"1536,82","1547,27","1536,82","1542,3",4078280000,0,0
2017-11-30,"1542,62","1551,69","1541,21","1544,14",4938490000,0,0
2017-12-01,"1544,1","1544,92","1498,78","1537,02",3942320000,0,0
2017-12-04,"1539,27","1559,61","1531,73","1532,41",4023150000,0,0
2017-12-05,"1532,72","1534,01","1516,75","1516,76",3539040000,0,0
2017-12-06,"1516,36","1516,54","1508,13","1508,88",3229000000,0,0
2017-12-07,"1508,93","1524,0","1508,15","1520,47",3292400000,0,0
2017-12-08,"1521,78","1529,0","1520,88","1521,72",3106150000,0,0
2017-12-11,"1522,1","1527,47","1518,3","1519,84",3091950000,0,0
2017-12-12,"1520,06","1525,11","1515,95","1516,12",3555680000,0,0
2017-12-13,"1516,19","1532,38","1516,08","1524,45",3542370000,0,0
2017-12-14,"1524,54","1527,0","1504,89","1506,95",3430030000,0,0
2017-12-15,"1507,68","1538,06","1507,68","1530,42",5723920000,0,0
