Date,indicators/average_dormancy_supply_adjusted
2010-09-06,1.2784548981270338e-06
2010-09-07,4.554438878798963e-06
2010-09-08,1.4152461104663518e-06
2010-09-09,7.137986719244038e-06
2010-09-10,7.674980803590133e-07
2010-09-11,2.3695770634180472e-06
2010-09-12,5.0172197997567625e-06
2010-09-13,1.133166793437607e-06
2010-09-14,1.5481480306770203e-06
2010-09-15,5.051152872667128e-06
2010-09-16,6.443405483274309e-06
2010-09-17,3.337140416764621e-05
2010-09-18,1.8253389907263717e-06
2010-09-19,1.1905366114560972e-06
2010-09-20,2.192329261275528e-06
2010-09-21,1.1690694099868629e-06
2010-09-22,1.8141327312413842e-06
2010-09-23,1.8074775262536636e-06
2010-09-24,1.217776269378154e-06
2010-09-25,3.065208729275395e-06
2010-09-26,1.5792070295479465e-06
2010-09-27,2.3246918692290933e-05
2010-09-28,5.679603496186783e-05
2010-09-29,2.160723136369726e-06
2010-09-30,2.5306080711477942e-06
2010-10-01,3.2238972390784584e-05
2010-10-02,7.42175862184352e-06
2010-10-03,1.097069096793764e-06
2010-10-04,6.875360949952797e-07
2010-10-05,8.074211992670406e-06
2010-10-06,8.318209161794517e-07
2010-10-07,1.4425754462139862e-06
2010-10-08,3.052353134379857e-06
2010-10-09,1.825810393706629e-06
2010-10-10,2.3480720407550437e-06
2010-10-11,2.299225336098865e-06
2010-10-12,1.1863324587564817e-06
2010-10-13,8.073187069672892e-06
2010-10-14,1.1817419843897682e-06
2010-10-15,2.9218311275735625e-06
2010-10-16,4.779738360336843e-06
2010-10-17,5.304491513049139e-07
2010-10-18,1.9032171456418024e-07
2010-10-19,2.6680735513457e-07
2010-10-20,4.3512810429157046e-07
2010-10-21,1.7006653002363849e-06
2010-10-22,4.910341923233722e-07
2010-10-23,3.5501072010629992e-06
2010-10-24,2.7909850208190892e-06
2010-10-25,1.0158843252308875e-06
2010-10-26,6.474510554846439e-07
2010-10-27,1.2861964921575977e-06
2010-10-28,3.5970966675487233e-06
2010-10-29,1.270388719861009e-06
2010-10-30,2.2306049264754067e-06
2010-10-31,1.8977726207986187e-06
2010-11-01,2.8767678688855073e-06
2010-11-02,2.8068609018469467e-06
2010-11-03,1.2332120777802757e-06
2010-11-04,3.1562134180084417e-06
2010-11-05,7.126781201245249e-06
2010-11-06,1.1725033590137464e-05
2010-11-07,9.781943892323633e-07
2010-11-08,2.8156760538024124e-06
