Date,transactions/transfers_to_exchanges_count
2013-11-05,1824.0
2013-11-06,2033.0
2013-11-07,2163.0
2013-11-08,2211.0
2013-11-09,2562.0
2013-11-10,2321.0
2013-11-11,1922.0
2013-11-12,1854.0
2013-11-13,2073.0
2013-11-14,2350.0
2013-11-15,2053.0
2013-11-16,1633.0
2013-11-17,1747.0
2013-11-18,3466.0
2013-11-19,4159.0
2013-11-20,3060.0
2013-11-21,3208.0
2013-11-22,3198.0
2013-11-23,2840.0
2013-11-24,2237.0
2013-11-25,2872.0
2013-11-26,2899.0
2013-11-27,3351.0
2013-11-28,3230.0
2013-11-29,2927.0
2013-11-30,2303.0
2013-12-01,3075.0
2013-12-02,2882.0
2013-12-03,2372.0
2013-12-04,2800.0
2013-12-05,3162.0
2013-12-06,2846.0
2013-12-07,2988.0
2013-12-08,1913.0
2013-12-09,2381.0
2013-12-10,2271.0
2013-12-11,2259.0
2013-12-12,1902.0
2013-12-13,2051.0
2013-12-14,1670.0
2013-12-15,1776.0
2013-12-16,3144.0
2013-12-17,3444.0
2013-12-18,4132.0
2013-12-19,3146.0
2013-12-20,3127.0
2013-12-21,2325.0
2013-12-22,2607.0
2013-12-23,2866.0
2013-12-24,2119.0
2013-12-25,1845.0
2013-12-26,2681.0
2013-12-27,2297.0
2013-12-28,1811.0
2013-12-29,1775.0
2013-12-30,2107.0
2013-12-31,1897.0
2014-01-01,1738.0
2014-01-02,2314.0
2014-01-03,2661.0
2014-01-04,2116.0
2014-01-05,2947.0
2014-01-06,3747.0
2014-01-07,2641.0
2014-01-08,2516.0
2014-01-09,2302.0
2014-01-10,2171.0
2014-01-11,2889.0
2014-01-12,2459.0
2014-01-13,2418.0
2014-01-14,2172.0
2014-01-15,2380.0
2014-01-16,2300.0
2014-01-17,2262.0
2014-01-18,1784.0
2014-01-19,1988.0
2014-01-20,2896.0
2014-01-21,2264.0
2014-01-22,2447.0
2014-01-23,2116.0
2014-01-24,2447.0
2014-01-25,2031.0
2014-01-26,2326.0
2014-01-27,2994.0
2014-01-28,2551.0
2014-01-29,2402.0
2014-01-30,2269.0
2014-01-31,2372.0
2014-02-01,2263.0
2014-02-02,2161.0
2014-02-03,2453.0
2014-02-04,2983.0
2014-02-05,2609.0
2014-02-06,2717.0
2014-02-07,3206.0
2014-02-08,2484.0
