Date,blockchain/utxo_loss_count
2013-02-21,18328.0
2013-02-22,25087.0
2013-02-23,76838.0
2013-02-24,76440.0
2013-02-25,14263.0
2013-02-26,25558.0
2013-02-27,24606.0
2013-02-28,23242.0
2013-03-01,16537.0
2013-03-02,36494.0
2013-03-03,22505.0
2013-03-04,12125.0
2013-03-05,8870.0
2013-03-06,42048.0
2013-03-07,65550.0
2013-03-08,32144.0
2013-03-09,22751.0
2013-03-10,72408.0
2013-03-11,2024.0
2013-03-12,109105.0
2013-03-13,27676.0
2013-03-14,66430.0
2013-03-15,109041.0
2013-03-16,143938.0
2013-03-17,46158.0
2013-03-18,2551.0
2013-03-19,0.0
2013-03-20,19899.0
2013-03-21,18131.0
2013-03-22,64509.0
2013-03-23,108882.0
2013-03-24,61432.0
2013-03-25,28456.0
2013-03-26,17864.0
2013-03-27,3742.0
2013-03-28,72647.0
2013-03-29,64760.0
2013-03-30,81244.0
2013-03-31,10273.0
2013-04-01,21738.0
2013-04-02,0.0
2013-04-03,29668.0
2013-04-04,46557.0
2013-04-05,23377.0
2013-04-06,89827.0
2013-04-07,1798.0
2013-04-08,33591.0
2013-04-09,24935.0
2013-04-10,200508.0
2013-04-11,741543.0
2013-04-12,487373.0
2013-04-13,710699.0
2013-04-14,733815.0
2013-04-15,941211.0
2013-04-16,1010755.0
2013-04-17,793386.0
2013-04-18,460353.0
2013-04-19,438146.0
2013-04-20,401656.0
2013-04-21,502807.0
2013-04-22,425449.0
2013-04-23,309390.0
2013-04-24,203952.0
2013-04-25,359193.0
2013-04-26,436861.0
2013-04-27,615875.0
2013-04-28,490777.0
2013-04-29,293272.0
2013-04-30,466236.0
2013-05-01,1101910.0
2013-05-02,1206493.0
2013-05-03,1256301.0
2013-05-04,1131851.0
2013-05-05,1051749.0
2013-05-06,1217504.0
2013-05-07,1261202.0
2013-05-08,1197692.0
2013-05-09,1371390.0
2013-05-10,1049960.0
2013-05-11,1156847.0
2013-05-12,1264315.0
2013-05-13,1178806.0
2013-05-14,1725863.0
2013-05-15,1707950.0
2013-05-16,1393171.0
2013-05-17,1013736.0
2013-05-18,971233.0
2013-05-19,1101363.0
2013-05-20,1109708.0
2013-05-21,1157694.0
2013-05-22,953299.0
2013-05-23,787173.0
2013-05-24,731257.0
2013-05-25,735996.0
2013-05-26,707790.0
2013-05-27,920751.0
2013-05-28,920258.0
2013-05-29,736886.0
2013-05-30,960135.0
2013-05-31,913510.0
2013-06-01,837542.0
2013-06-02,1156575.0
2013-06-03,1144454.0
2013-06-04,1305854.0
2013-06-05,1247183.0
2013-06-06,1453691.0
2013-06-07,2276629.0
2013-06-08,2340156.0
2013-06-09,2504015.0
2013-06-10,2442463.0
2013-06-11,2367281.0
2013-06-12,2424593.0
2013-06-13,2560677.0
2013-06-14,2590421.0
2013-06-15,2581582.0
2013-06-16,2603313.0
2013-06-17,2558155.0
2013-06-18,2450437.0
2013-06-19,2419283.0
2013-06-20,2514921.0
2013-06-21,2549800.0
2013-06-22,2611172.0
2013-06-23,2582750.0
2013-06-24,2669720.0
2013-06-25,2721700.0
2013-06-26,2675839.0
2013-06-27,2783769.0
2013-06-28,3020549.0
2013-06-29,3035120.0
2013-06-30,3017609.0
2013-07-01,3119817.0
2013-07-02,3038013.0
2013-07-03,3181937.0
2013-07-04,3156682.0
2013-07-05,3309696.0
2013-07-06,3314351.0
2013-07-07,3176425.0
2013-07-08,3182776.0
2013-07-09,3146871.0
2013-07-10,3012482.0
2013-07-11,2960138.0
2013-07-12,2870317.0
2013-07-13,2814681.0
2013-07-14,2912008.0
2013-07-15,2732481.0
2013-07-16,2870082.0
2013-07-17,2901251.0
2013-07-18,3150204.0
2013-07-19,3095332.0
2013-07-20,3167287.0
2013-07-21,3122489.0
2013-07-22,3153268.0
2013-07-23,3068391.0
2013-07-24,2970177.0
2013-07-25,2884017.0
2013-07-26,2908621.0
2013-07-27,3029905.0
2013-07-28,2722713.0
2013-07-29,2669908.0
2013-07-30,2533410.0
2013-07-31,2491598.0
2013-08-01,2607899.0
2013-08-02,2665388.0
2013-08-03,2691210.0
2013-08-04,2611517.0
2013-08-05,2524180.0
2013-08-06,2540609.0
2013-08-07,2629657.0
