Date,fees/gas_limit_tx_mean
2018-01-15,93504.431823909
2018-01-16,92717.037367286
2018-01-17,85741.543129147
2018-01-18,95509.568919767
2018-01-19,103637.387608231
2018-01-20,122284.386279583
2018-01-21,112933.319305932
2018-01-22,118442.321268852
2018-01-23,122117.166043076
2018-01-24,118131.345340977
2018-01-25,138685.937019587
2018-01-26,115088.595441297
2018-01-27,119471.144627593
2018-01-28,122713.761680298
2018-01-29,122695.34011496
2018-01-30,123465.634905105
2018-01-31,126830.338461661
2018-02-01,124852.546558692
2018-02-02,118386.936769021
2018-02-03,124745.408455148
2018-02-04,134566.359518827
2018-02-05,121644.084402023
2018-02-06,121929.418372046
2018-02-07,121527.753542831
2018-02-08,141253.551627372
2018-02-09,133183.723790749
2018-02-10,122406.708450123
2018-02-11,117995.395705989
2018-02-12,126570.982230827
2018-02-13,128205.811988651
2018-02-14,138629.289179564
2018-02-15,127193.590044229
2018-02-16,146537.191816198
2018-02-17,127429.173008203
2018-02-18,134273.623266745
2018-02-19,121530.94711382
2018-02-20,116273.955816741
2018-02-21,121608.0919737
2018-02-22,136378.431787666
2018-02-23,132488.307008474
2018-02-24,131745.754081606
2018-02-25,184657.187098708
2018-02-26,143332.738803693
2018-02-27,146574.928488028
2018-02-28,172884.794205184
2018-03-01,164231.318342675
2018-03-02,193885.411213886
2018-03-03,173603.397106011
2018-03-04,154920.170143072
2018-03-05,149528.460126522
2018-03-06,175055.411101179
2018-03-07,151700.179121845
2018-03-08,172426.080018663
2018-03-09,178197.284353088
2018-03-10,189717.323590535
2018-03-11,165263.858566035
2018-03-12,174810.776099412
2018-03-13,159480.062990189
2018-03-14,163596.818238433
2018-03-15,157396.350505935
2018-03-16,144540.028595261
2018-03-17,131698.492662714
2018-03-18,134535.11678512
2018-03-19,140788.4424776
2018-03-20,147324.444789971
2018-03-21,141532.885901713
2018-03-22,148956.721801331
2018-03-23,135234.540580975
2018-03-24,138295.623498254
2018-03-25,160076.999485155
2018-03-26,134695.105924691
2018-03-27,135984.959541482
2018-03-28,140559.195123634
2018-03-29,153187.009580707
2018-03-30,157929.557395962
2018-03-31,164073.906655761
2018-04-01,156250.045390092
2018-04-02,148181.422661465
2018-04-03,169443.31647102
2018-04-04,159133.573920225
2018-04-05,167139.691294795
2018-04-06,174197.028920601
2018-04-07,176671.928269247
2018-04-08,185182.075931667
2018-04-09,192123.959132435
2018-04-10,233373.885281105
2018-04-11,182608.865375586
2018-04-12,167230.968256123
2018-04-13,163935.299560207
2018-04-14,168144.188570456
2018-04-15,169167.571784801
2018-04-16,182594.282187591
2018-04-17,155059.885660514
2018-04-18,183110.929595489
2018-04-19,158398.582814085
2018-04-20,153477.735642018
2018-04-21,161082.719232171
2018-04-22,157864.221632139
2018-04-23,151347.007873006
2018-04-24,175490.840902938
2018-04-25,364080.361998663
2018-04-26,431623.799137897
2018-04-27,508538.353114997
2018-04-28,606515.659365605
2018-04-29,521792.466828168
2018-04-30,392291.938451396
2018-05-01,213180.042419929
2018-05-02,171986.798310825
2018-05-03,159841.201107451
2018-05-04,120912.887155356
2018-05-05,174057.073442119
2018-05-06,157407.891222426
2018-05-07,161555.347380495
2018-05-08,177764.906930635
2018-05-09,142671.058482037
2018-05-10,148685.905038095
2018-05-11,147886.341513547
2018-05-12,141214.341287808
2018-05-13,145272.635545926
2018-05-14,138117.567368182
2018-05-15,143421.6711092
2018-05-16,136936.061566515
2018-05-17,138144.574894019
2018-05-18,126975.793098598
2018-05-19,123479.490159378
2018-05-20,137998.053953322
2018-05-21,146214.279313049
2018-05-22,158161.869502887
2018-05-23,181437.779282366
2018-05-24,157432.624815852
2018-05-25,144524.891030396
2018-05-26,134210.653272208
2018-05-27,141839.343664629
2018-05-28,124581.449629618
2018-05-29,145933.303512878
2018-05-30,149360.38097231
2018-05-31,141237.568128168
2018-06-01,147968.096167187
2018-06-02,142692.687932689
2018-06-03,127045.185352538
2018-06-04,141374.621067564
2018-06-05,145768.043566036
2018-06-06,154565.506414524
2018-06-07,151167.390634264
2018-06-08,156329.007838704
2018-06-09,156737.109107167
2018-06-10,168189.78771782
2018-06-11,218158.942338277
2018-06-12,280861.201529735
2018-06-13,333689.104321891
2018-06-14,258990.829995718
2018-06-15,290109.669482838
2018-06-16,224351.718716736
2018-06-17,182123.501969014
2018-06-18,165341.321969147
2018-06-19,187415.944517281
2018-06-20,188523.126705318
2018-06-21,180942.457220741
2018-06-22,153120.995293702
2018-06-23,162732.065620386
2018-06-24,148059.521979363
2018-06-25,152477.025687208
2018-06-26,147018.3240914
2018-06-27,149261.371278522
2018-06-28,153817.999515296
2018-06-29,171156.981692088
2018-06-30,184265.215936971
2018-07-01,140687.783830924
2018-07-02,164716.421250554
2018-07-03,143609.703467287
2018-07-04,168217.305238956
2018-07-05,161997.52389563
2018-07-06,171110.807279856
2018-07-07,165455.809243862
2018-07-08,140750.786541674
2018-07-09,256095.826606087
2018-07-10,256830.452049884
2018-07-11,146369.382662443
2018-07-12,164178.822899774
2018-07-13,155923.13523114
2018-07-14,152467.469074626
2018-07-15,186378.910713105
2018-07-16,145390.639222499
2018-07-17,159421.052166573
2018-07-18,151473.106936319
2018-07-19,139203.184206658
2018-07-20,157815.621818084
2018-07-21,216559.43270591
2018-07-22,157640.755274255
2018-07-23,151048.205065003
2018-07-24,137506.506296263
2018-07-25,151114.883468122
2018-07-26,166350.527901272
2018-07-27,144262.951999138
2018-07-28,146159.288238327
2018-07-29,130939.800941992
2018-07-30,135137.631522267
2018-07-31,153977.012017776
2018-08-01,138796.88751158
2018-08-02,143687.329625299
2018-08-03,136788.448205632
2018-08-04,139824.849431266
2018-08-05,136137.477136638
2018-08-06,145955.422317079
2018-08-07,209306.870043153
2018-08-08,287927.905505575
2018-08-09,294652.588542885
2018-08-10,295943.216220443
2018-08-11,195589.414235553
2018-08-12,160453.930953208
2018-08-13,176519.465063941
2018-08-14,176071.803920631
2018-08-15,197229.673735092
2018-08-16,179839.050714912
2018-08-17,268646.72529188
2018-08-18,160685.087636768
2018-08-19,176925.836162159
2018-08-20,152365.471203084
2018-08-21,168736.802232023
2018-08-22,205626.217678739
2018-08-23,198216.572472676
2018-08-24,208155.142782866
2018-08-25,174138.429756132
2018-08-26,187552.410992001
2018-08-27,158469.496566992
2018-08-28,174662.347140316
2018-08-29,199776.1247657
2018-08-30,200624.438620757
2018-08-31,198959.243135652
2018-09-01,187780.409105316
2018-09-02,157098.617050399
2018-09-03,174012.679528498
2018-09-04,204095.10062237
2018-09-05,187647.864237898
2018-09-06,202014.055706764
2018-09-07,203945.406785484
2018-09-08,187896.33864434
2018-09-09,221473.331095714
2018-09-10,210532.409235218
2018-09-11,285762.089525351
2018-09-12,211099.464392042
2018-09-13,218845.583298696
2018-09-14,199400.778729923
2018-09-15,225096.179080457
2018-09-16,238680.743857322
2018-09-17,194068.651489923
2018-09-18,201209.465454444
2018-09-19,210234.712874195
2018-09-20,222089.183827633
2018-09-21,189296.706173832
2018-09-22,215260.327123232
2018-09-23,204411.25630192
2018-09-24,211769.039878252
2018-09-25,178274.45925896
2018-09-26,188139.82884336
2018-09-27,178495.191561501
2018-09-28,189486.068106561
2018-09-29,194035.835755155
2018-09-30,193248.884583531
2018-10-01,226263.729299109
2018-10-02,204859.531152731
2018-10-03,170997.681116124
2018-10-04,174014.431522173
2018-10-05,163460.222364246
2018-10-06,162236.256982735
2018-10-07,171422.389324724
2018-10-08,194528.822471364
2018-10-09,199756.97724141
2018-10-10,190920.541509602
2018-10-11,189508.119794926
2018-10-12,229783.597285374
2018-10-13,334862.102774655
2018-10-14,203967.269180937
2018-10-15,196875.966271123
2018-10-16,200970.078886089
2018-10-17,180194.021452424
2018-10-18,191101.111288444
2018-10-19,292943.585998779
2018-10-20,319613.110457235
2018-10-21,193994.641480353
2018-10-22,178359.157235058
2018-10-23,193659.702871649
2018-10-24,190656.375499569
2018-10-25,223861.967146654
2018-10-26,195586.956978909
2018-10-27,214236.564258311
2018-10-28,193265.447183748
2018-10-29,171997.723967171
2018-10-30,166460.450735293
2018-10-31,174529.056026307
2018-11-01,196165.043648234
2018-11-02,261258.981979239
2018-11-03,242852.445465976
2018-11-04,237944.762068169
2018-11-05,237658.381577185
2018-11-06,198790.740162702
2018-11-07,214716.885228887
2018-11-08,201020.985469722
2018-11-09,197991.922005739
2018-11-10,207514.788781894
2018-11-11,202979.466274093
2018-11-12,201784.587080373
2018-11-13,190612.526467241
2018-11-14,184527.107899433
2018-11-15,222069.812443278
2018-11-16,228348.290592222
2018-11-17,225063.311985617
2018-11-18,247840.6765807
2018-11-19,212646.821558026
2018-11-20,213964.865876577
2018-11-21,239689.226329566
2018-11-22,246507.719860431
2018-11-23,258206.014485921
2018-11-24,261439.471668165
2018-11-25,220463.340518072
2018-11-26,224210.419370349
2018-11-27,221433.725100517
2018-11-28,216357.783937807
2018-11-29,263074.443344115
2018-11-30,260731.23982078
2018-12-01,238480.137392369
2018-12-02,247893.959176296
2018-12-03,229179.497212188
2018-12-04,245079.235991734
2018-12-05,233058.855642459
2018-12-06,223044.400734106
2018-12-07,225839.803554052
2018-12-08,225726.703109195
2018-12-09,271099.80060289
2018-12-10,210269.375588562
2018-12-11,251221.695781391
2018-12-12,269415.547816152
2018-12-13,272452.551720115
2018-12-14,282677.656427043
2018-12-15,233181.578973974
2018-12-16,195221.387668208
2018-12-17,210748.915953134
2018-12-18,218657.521500216
2018-12-19,197601.670729178
2018-12-20,212214.965114561
2018-12-21,208959.9632761
2018-12-22,219070.099565938
2018-12-23,224237.188855064
2018-12-24,227246.944787678
2018-12-25,215423.79491814
2018-12-26,204449.685315697
2018-12-27,207106.859023616
2018-12-28,201379.472167413
2018-12-29,216091.519726122
2018-12-30,252049.596972165
2018-12-31,217852.466328251
2019-01-01,257968.224415844
2019-01-02,225778.141138621
2019-01-03,198584.80965271
2019-01-04,208621.059341315
2019-01-05,216801.451596181
2019-01-06,203920.677035201
2019-01-07,215520.405411243
2019-01-08,217035.662256694
2019-01-09,222182.892768504
2019-01-10,217093.698819056
2019-01-11,235863.845145597
2019-01-12,252160.520062645
2019-01-13,224792.299405626
2019-01-14,185064.079733005
2019-01-15,199148.072825137
2019-01-16,223108.005140963
2019-01-17,200434.251476555
2019-01-18,195825.255177686
2019-01-19,215155.286072803
2019-01-20,207624.883218493
2019-01-21,201991.374314244
2019-01-22,182930.606775899
2019-01-23,199778.525432778
2019-01-24,200378.875817584
2019-01-25,195554.461316332
2019-01-26,249173.513312373
2019-01-27,222920.001278605
2019-01-28,211433.49721931
2019-01-29,201683.524368139
2019-01-30,224404.616951203
2019-01-31,238240.092777005
2019-02-01,242972.302099203
2019-02-02,252778.823425432
2019-02-03,271823.023990405
2019-02-04,262795.72981359
2019-02-05,234058.571683763
2019-02-06,245831.722179623
2019-02-07,269628.215321128
2019-02-08,257530.928467302
2019-02-09,264519.825339403
2019-02-10,271217.475160763
2019-02-11,259148.400219577
2019-02-12,250307.808993611
2019-02-13,237112.097805248
