Date,transactions/transfers_count
2017-08-11,236509.0
2017-08-12,214750.0
2017-08-13,219004.0
2017-08-14,270640.0
2017-08-15,281914.0
2017-08-16,274225.0
2017-08-17,272408.0
2017-08-18,298930.0
2017-08-19,233731.0
2017-08-20,199446.0
2017-08-21,268048.0
2017-08-22,230506.0
2017-08-23,263661.0
2017-08-24,236325.0
2017-08-25,241693.0
2017-08-26,193763.0
2017-08-27,205264.0
2017-08-28,235205.0
2017-08-29,258681.0
2017-08-30,255784.0
2017-08-31,266931.0
2017-09-01,252463.0
2017-09-02,218025.0
2017-09-03,197363.0
2017-09-04,293252.0
2017-09-05,285501.0
2017-09-06,306808.0
2017-09-07,267030.0
2017-09-08,274564.0
2017-09-09,225955.0
2017-09-10,205071.0
2017-09-11,234782.0
2017-09-12,273059.0
2017-09-13,237088.0
2017-09-14,266340.0
2017-09-15,308065.0
2017-09-16,251286.0
2017-09-17,192232.0
2017-09-18,222039.0
2017-09-19,224253.0
2017-09-20,211298.0
2017-09-21,201033.0
2017-09-22,172422.0
2017-09-23,165854.0
2017-09-24,165314.0
2017-09-25,188074.0
2017-09-26,178779.0
2017-09-27,186509.0
2017-09-28,197905.0
2017-09-29,211027.0
2017-09-30,178411.0
2017-10-01,168187.0
2017-10-02,189958.0
2017-10-03,200228.0
2017-10-04,184156.0
2017-10-05,189385.0
2017-10-06,188712.0
2017-10-07,179610.0
2017-10-08,181554.0
2017-10-09,209737.0
2017-10-10,225219.0
2017-10-11,221797.0
2017-10-12,221897.0
2017-10-13,247816.0
2017-10-14,210555.0
2017-10-15,204295.0
2017-10-16,200454.0
2017-10-17,254236.0
2017-10-18,235488.0
2017-10-19,223199.0
2017-10-20,231777.0
2017-10-21,225931.0
2017-10-22,245910.0
2017-10-23,246151.0
2017-10-24,244988.0
2017-10-25,221080.0
2017-10-26,227506.0
2017-10-27,216302.0
2017-10-28,209650.0
2017-10-29,212050.0
2017-10-30,230514.0
2017-10-31,249831.0
2017-11-01,265227.0
2017-11-02,283475.0
2017-11-03,242290.0
2017-11-04,196880.0
2017-11-05,187971.0
2017-11-06,223438.0
2017-11-07,228554.0
2017-11-08,253085.0
2017-11-09,254308.0
2017-11-10,255668.0
2017-11-11,216166.0
2017-11-12,267970.0
2017-11-13,253640.0
2017-11-14,267778.0
2017-11-15,318459.0
2017-11-16,271800.0
2017-11-17,293862.0
2017-11-18,252365.0
2017-11-19,263038.0
2017-11-20,278601.0
2017-11-21,309075.0
2017-11-22,315544.0
2017-11-23,311136.0
2017-11-24,314352.0
2017-11-25,300412.0
2017-11-26,296216.0
2017-11-27,363610.0
2017-11-28,391392.0
2017-11-29,427282.0
2017-11-30,409660.0
2017-12-01,372555.0
2017-12-02,378686.0
2017-12-03,420167.0
2017-12-04,445899.0
2017-12-05,434457.0
2017-12-06,600280.0
2017-12-07,424890.0
2017-12-08,494855.0
2017-12-09,440851.0
2017-12-10,449730.0
2017-12-11,552819.0
2017-12-12,577164.0
2017-12-13,620326.0
2017-12-14,666473.0
2017-12-15,627510.0
2017-12-16,586888.0
2017-12-17,568468.0
2017-12-18,672106.0
2017-12-19,770889.0
2017-12-20,750936.0
2017-12-21,804816.0
2017-12-22,829190.0
2017-12-23,627369.0
2017-12-24,498182.0
2017-12-25,500631.0
2017-12-26,562061.0
2017-12-27,622988.0
2017-12-28,661592.0
2017-12-29,809411.0
2017-12-30,883756.0
2017-12-31,669782.0
2018-01-01,636767.0
2018-01-02,853258.0
2018-01-03,964293.0
2018-01-04,1130165.0
2018-01-05,1036639.0
2018-01-06,965775.0
2018-01-07,855867.0
2018-01-08,924375.0
2018-01-09,992882.0
2018-01-10,928352.0
2018-01-11,921420.0
2018-01-12,824568.0
2018-01-13,833834.0
2018-01-14,765030.0
2018-01-15,925791.0
2018-01-16,991893.0
2018-01-17,998044.0
2018-01-18,915830.0
2018-01-19,729765.0
2018-01-20,652873.0
2018-01-21,747165.0
2018-01-22,689101.0
2018-01-23,626845.0
2018-01-24,603540.0
2018-01-25,470420.0
2018-01-26,659982.0
2018-01-27,554322.0
2018-01-28,588063.0
2018-01-29,622287.0
2018-01-30,607294.0
2018-01-31,604266.0
2018-02-01,711264.0
2018-02-02,695667.0
2018-02-03,537616.0
2018-02-04,516403.0
2018-02-05,594329.0
2018-02-06,606174.0
2018-02-07,545921.0
2018-02-08,415804.0
2018-02-09,487095.0
2018-02-10,523255.0
2018-02-11,455022.0
2018-02-12,515242.0
2018-02-13,454295.0
2018-02-14,470471.0
2018-02-15,487331.0
2018-02-16,420964.0
2018-02-17,422807.0
2018-02-18,417736.0
2018-02-19,448702.0
2018-02-20,480135.0
2018-02-21,484640.0
2018-02-22,428251.0
2018-02-23,404278.0
2018-02-24,354234.0
2018-02-25,347911.0
2018-02-26,432860.0
2018-02-27,393051.0
2018-02-28,425985.0
2018-03-01,388483.0
2018-03-02,385164.0
2018-03-03,337227.0
2018-03-04,327442.0
2018-03-05,405464.0
2018-03-06,406618.0
2018-03-07,509035.0
2018-03-08,384881.0
2018-03-09,380285.0
2018-03-10,341355.0
2018-03-11,296163.0
2018-03-12,364604.0
2018-03-13,368068.0
2018-03-14,392268.0
2018-03-15,375191.0
2018-03-16,349928.0
2018-03-17,315280.0
2018-03-18,360834.0
2018-03-19,396543.0
2018-03-20,341432.0
2018-03-21,370669.0
2018-03-22,348913.0
2018-03-23,400604.0
2018-03-24,368998.0
2018-03-25,284579.0
2018-03-26,346511.0
2018-03-27,325756.0
2018-03-28,319566.0
2018-03-29,339146.0
2018-03-30,357762.0
2018-03-31,309811.0
2018-04-01,286835.0
2018-04-02,317590.0
2018-04-03,348003.0
2018-04-04,321700.0
2018-04-05,352952.0
2018-04-06,334853.0
2018-04-07,280682.0
2018-04-08,304344.0
2018-04-09,331405.0
2018-04-10,308588.0
2018-04-11,308430.0
2018-04-12,360633.0
2018-04-13,385608.0
2018-04-14,303604.0
2018-04-15,314785.0
2018-04-16,347677.0
2018-04-17,371939.0
2018-04-18,360008.0
2018-04-19,371512.0
2018-04-20,412977.0
2018-04-21,396656.0
2018-04-22,393865.0
2018-04-23,441317.0
2018-04-24,434906.0
2018-04-25,402666.0
2018-04-26,380387.0
2018-04-27,372530.0
2018-04-28,379715.0
2018-04-29,367797.0
2018-04-30,406727.0
2018-05-01,375437.0
2018-05-02,417948.0
2018-05-03,441287.0
2018-05-04,708270.0
2018-05-05,431731.0
2018-05-06,393284.0
2018-05-07,403441.0
2018-05-08,418298.0
2018-05-09,424565.0
2018-05-10,418947.0
2018-05-11,425870.0
2018-05-12,383931.0
2018-05-13,381470.0
2018-05-14,438730.0
2018-05-15,398968.0
2018-05-16,404847.0
2018-05-17,422805.0
2018-05-18,425081.0
2018-05-19,412259.0
2018-05-20,362034.0
2018-05-21,407091.0
2018-05-22,403303.0
2018-05-23,436426.0
2018-05-24,410391.0
2018-05-25,401193.0
2018-05-26,350117.0
2018-05-27,364673.0
2018-05-28,463296.0
2018-05-29,397600.0
2018-05-30,417402.0
2018-05-31,436739.0
2018-06-01,395975.0
2018-06-02,371017.0
2018-06-03,360690.0
2018-06-04,403858.0
2018-06-05,388767.0
2018-06-06,379045.0
2018-06-07,375994.0
2018-06-08,351270.0
2018-06-09,336806.0
2018-06-10,365736.0
2018-06-11,396079.0
2018-06-12,355690.0
2018-06-13,384758.0
