Date,transactions/transfers_volume_exchanges_net
2013-10-11,-1821.6750239461498
2013-10-12,3200.8674747447294
2013-10-13,2127.5143807078002
2013-10-14,18880.775853842402
2013-10-15,-2709.0819620306593
2013-10-16,1832.6904759587997
2013-10-17,-361.85558174979997
2013-10-18,2357.3697249527995
2013-10-19,5115.7945452446
2013-10-20,6939.456361017759
2013-10-21,1656.2353178701997
2013-10-22,14632.330431911203
2013-10-23,-4128.2027018957
2013-10-24,-5064.952497484599
2013-10-25,9023.43799664987
2013-10-26,4850.327637089781
2013-10-27,1730.6231868582008
2013-10-28,-582.0810280923506
2013-10-29,-1783.4059941985997
2013-10-30,9713.4418975367
2013-10-31,-2542.4250799845995
2013-11-01,3086.44169298209
2013-11-02,1271.1585000892997
2013-11-03,-212.49109858439988
2013-11-04,77133.46498216591
2013-11-05,-799.5027520078984
2013-11-06,1703.327919087198
2013-11-07,534.733332279
2013-11-08,7840.961204860698
2013-11-09,4650.050555964601
2013-11-10,7654.273487796801
2013-11-11,-4014.1450869096006
2013-11-12,-6442.053606865102
2013-11-13,-9588.965502984403
2013-11-14,1986.6946000579992
2013-11-15,-880.2036698456996
2013-11-16,4411.512387119999
2013-11-17,4948.578806342501
2013-11-18,-5944.856011891701
2013-11-19,7185.232030076004
2013-11-20,-11257.770818057299
2013-11-21,-3806.2658065530013
2013-11-22,-9653.120599749502
2013-11-23,19150.0540564926
2013-11-24,1787.3543439488003
2013-11-25,3565.0352256095975
2013-11-26,54723.08421469529
2013-11-27,3084.2356007812996
2013-11-28,-6947.775390859897
2013-11-29,-3705.254621402695
2013-11-30,-3243.6519780543003
2013-12-01,9316.1417200193
2013-12-02,-2172.8582967078
2013-12-03,-2426.7344021810504
2013-12-04,-13999.498277506202
2013-12-05,8559.825744484697
2013-12-06,-2549.4420186507996
2013-12-07,3727.308283099599
2013-12-08,7262.297019170628
2013-12-09,-2341.2015364728995
2013-12-10,256.55134096569964
2013-12-11,574.7236138118697
2013-12-12,-1214.77250521922
2013-12-13,1493.0979638414901
2013-12-14,-4477.84448589814
2013-12-15,172.27931301079116
2013-12-16,7435.311893423599
2013-12-17,10009.4016547125
2013-12-18,18667.0313857709
2013-12-19,5465.851023905401
2013-12-20,7040.2865009959005
2013-12-21,-163.60385908009994
2013-12-22,-16598.241458906497
2013-12-23,-10039.786364911703
2013-12-24,-17253.01102555119
2013-12-25,-9942.7890397884
2013-12-26,853.6876590818993
2013-12-27,-128.06059692059898
2013-12-28,383.8654778461305
2013-12-29,1274.6054499972997
2013-12-30,-2408.3418324938993
2013-12-31,447.8302627722205
2014-01-01,918.65129777936
2014-01-02,1685.3711825735509
2014-01-03,2776.372880585701
2014-01-04,-1258.7551817168605
2014-01-05,-4507.1705749143
2014-01-06,8229.80420140714
2014-01-07,-961.9032031826009
2014-01-08,5228.901583135401
2014-01-09,-2714.941928144939
2014-01-10,-767.6801820028595
2014-01-11,1356.4613838078003
2014-01-12,924.85071345903
2014-01-13,3326.5941444551027
2014-01-14,-1058.8418316498592
2014-01-15,-1239.9496334650394
2014-01-16,-790.8869096426306
2014-01-17,991.5023029875301
2014-01-18,1289.1149569969002
2014-01-19,-1628.7083942586705
2014-01-20,-436.36035206860106
2014-01-21,-2099.866774714599
2014-01-22,274.04300995294034
2014-01-23,3198.8430701260504
2014-01-24,4307.5788411713
2014-01-25,635.92163921672
2014-01-26,-546.2066060401003
2014-01-27,474.3807140411991
2014-01-28,3159.4993617228993
2014-01-29,-2454.8338478061296
2014-01-30,1489.2015150248399
2014-01-31,1046.942516454401
2014-02-01,2533.30233362207
2014-02-02,-1886.76628959374
2014-02-03,-22.319794379510313
2014-02-04,654.0828281295799
2014-02-05,-2228.63644610203
2014-02-06,526.9410579793803
2014-02-07,7209.854642150596
2014-02-08,48.6217395006006
2014-02-09,-476.98508407431837
2014-02-10,2076.7113125658034
2014-02-11,8245.43520744564
2014-02-12,3218.5734702782293
2014-02-13,6854.937260550619
2014-02-14,4373.4331226454
2014-02-15,-8838.842205904099
2014-02-16,-3284.1929759724007
2014-02-17,-3055.031369390601
2014-02-18,-34.65470170300068
2014-02-19,117.66243678104001
2014-02-20,-2944.756891254201
2014-02-21,-1372.2637738049016
2014-02-22,-2735.5665104342006
2014-02-23,-396.85189387369974
2014-02-24,19029.4028687948
2014-02-25,35534.496452796
2014-02-26,-5907.404842265198
2014-02-27,-2451.4381272809005
2014-02-28,1021.1515625332995
2014-03-01,84.32281864666038
2014-03-02,-94.61827551754959
2014-03-03,-2384.177353544801
2014-03-04,-1942.1697382749007
2014-03-05,1548.7565170242997
2014-03-06,-8544.135920449498
