Date,transactions/transfers_volume_adjusted_median
2012-07-17,1.021
2012-07-18,0.866924
2012-07-19,0.93995175
2012-07-20,0.8
2012-07-21,0.9847475
2012-07-22,0.7342867
2012-07-23,1.20619211
2012-07-24,1.01000001
2012-07-25,1.2495
2012-07-26,1.0
2012-07-27,2.0
2012-07-28,1.1732
2012-07-29,1.06496272
2012-07-30,1.51599997
2012-07-31,2.0
2012-08-01,1.54016817
2012-08-02,1.789
2012-08-03,3.88026816
2012-08-04,2.0
2012-08-05,1.9995
2012-08-06,1.28040322
2012-08-07,2.519
2012-08-08,1.0795
2012-08-09,1.27116
2012-08-10,1.5995784
2012-08-11,1.0087
2012-08-12,0.90010453
2012-08-13,0.5895
2012-08-14,1.03872722
2012-08-15,0.78542304
2012-08-16,2.13659185
2012-08-17,2.86796985
2012-08-18,2.0
2012-08-19,1.66738362
2012-08-20,2.27259532
2012-08-21,2.4919
2012-08-22,2.9855
2012-08-23,4.65443404
2012-08-24,2.76663467
2012-08-25,1.2945
2012-08-26,1.41958565
2012-08-27,1.27
2012-08-28,1.0
2012-08-29,1.0345
2012-08-30,0.81243822
2012-08-31,1.0
2012-09-01,0.94490999
2012-09-02,1.15699
2012-09-03,0.62973136
2012-09-04,0.801
2012-09-05,0.79047816
2012-09-06,0.75
2012-09-07,1.07066
2012-09-08,1.5
2012-09-09,1.52069196
2012-09-10,0.66778266
2012-09-11,0.4995
2012-09-12,0.52689077
2012-09-13,0.5111
2012-09-14,0.5513286
2012-09-15,0.5
2012-09-16,0.4502977
2012-09-17,0.7
2012-09-18,0.86
2012-09-19,1.01000349
2012-09-20,1.0582
2012-09-21,0.7003468
2012-09-22,0.7995392
2012-09-23,0.5019632
2012-09-24,0.5
2012-09-25,1.0918
2012-09-26,0.67646854
2012-09-27,0.74649999
2012-09-28,0.5167228
2012-09-29,0.86755226
2012-09-30,0.70688562
2012-10-01,0.734302
2012-10-02,1.0276
2012-10-03,1.16749478
2012-10-04,0.9995
2012-10-05,0.6151
2012-10-06,0.42209942
2012-10-07,0.65652266
2012-10-08,0.5291412
2012-10-09,0.8955
2012-10-10,0.7995
2012-10-11,0.77424997
2012-10-12,0.9723718
2012-10-13,0.77449992
2012-10-14,0.804
2012-10-15,0.9995
2012-10-16,0.59568527
2012-10-17,0.9995
2012-10-18,1.0
2012-10-19,0.9995
2012-10-20,0.77906084
2012-10-21,0.491
2012-10-22,0.52665675
2012-10-23,0.67
2012-10-24,1.0
2012-10-25,1.03378146
2012-10-26,1.999
2012-10-27,2.01062412
2012-10-28,1.14525
2012-10-29,1.01009798
2012-10-30,0.89
2012-10-31,1.03872734
2012-11-01,1.14615518
2012-11-02,0.95925632
2012-11-03,1.0
2012-11-04,0.91056284
2012-11-05,0.799
2012-11-06,0.79455256
2012-11-07,0.97424376
2012-11-08,1.09799997
2012-11-09,1.45312997
2012-11-10,0.69674334
2012-11-11,0.999
2012-11-12,0.89527373
2012-11-13,0.81079413
2012-11-14,0.6938
2012-11-15,0.8103
2012-11-16,0.81853899
2012-11-17,0.921
2012-11-18,0.97305912
2012-11-19,0.68165981
2012-11-20,0.90875028
2012-11-21,0.64081539
2012-11-22,0.82676536
2012-11-23,0.59
2012-11-24,1.0
2012-11-25,0.62231853
2012-11-26,0.68624123
2012-11-27,1.22955767
2012-11-28,0.999
2012-11-29,0.57097939
2012-11-30,0.84899999
2012-12-01,0.78564773
2012-12-02,0.89447365
2012-12-03,1.31273314
2012-12-04,0.999
2012-12-05,1.001424
2012-12-06,2.06692356
2012-12-07,0.97785756
