Date,indicators/realized_profit
2015-10-18,1806112.85336728
2015-10-19,2344989.65483869
2015-10-20,3475280.51204984
2015-10-21,2187468.89698711
2015-10-22,3026214.90068456
2015-10-23,3236744.21251814
2015-10-24,2299915.4955591
2015-10-25,5120926.32131538
2015-10-26,2810568.87304122
2015-10-27,5735482.4302005
2015-10-28,8168333.40712501
2015-10-29,9957735.84428073
2015-10-30,17224596.4056818
2015-10-31,8848532.11739681
2015-11-01,7668774.10795916
2015-11-02,14902112.5086987
2015-11-03,37544931.8584186
2015-11-04,72405444.3412674
2015-11-05,36888171.601557
2015-11-06,9791297.61496803
2015-11-07,13412988.10467
2015-11-08,4249709.60370822
2015-11-09,12180304.4352738
2015-11-10,4630378.67871295
2015-11-11,4446552.8419963
2015-11-12,7268970.13650328
2015-11-13,7061390.59689665
2015-11-14,2606881.02766724
2015-11-15,1644884.54439674
2015-11-16,2862882.06226069
2015-11-17,10335463.0793119
2015-11-18,2525290.76106897
2015-11-19,1985844.2657423
2015-11-20,1686371.05114652
2015-11-21,1480926.65313371
2015-11-22,2267472.34940929
2015-11-23,898610.611222195
2015-11-24,1344239.91703478
2015-11-25,1865020.62937487
2015-11-26,7664434.40015957
2015-11-27,9903823.12620509
2015-11-28,2638285.64781956
2015-11-29,3419682.0894294
2015-11-30,12078622.851761
2015-12-01,4949493.10171792
2015-12-02,4691848.02611685
2015-12-03,4133710.21756316
2015-12-04,3171385.18347573
2015-12-05,6852273.13073289
2015-12-06,11072819.3656496
2015-12-07,8564634.89008487
2015-12-08,7216890.93172178
2015-12-09,20843955.087517
2015-12-10,7719076.76766916
2015-12-11,15670506.1439995
2015-12-12,11935430.8402609
2015-12-13,7153778.38136403
2015-12-14,16296889.6487409
2015-12-15,15146898.15701
2015-12-16,8538931.76510455
2015-12-17,7576535.39425239
2015-12-18,6912526.9299332
2015-12-19,10371128.0346515
2015-12-20,4424708.71111235
2015-12-21,6537700.46325515
2015-12-22,5481128.05028363
2015-12-23,6458528.04762655
2015-12-24,9511916.29539822
2015-12-25,8068107.20334275
2015-12-26,2563613.69937272
2015-12-27,2178555.27479625
2015-12-28,3364254.06892711
2015-12-29,2463606.88578924
2015-12-30,2548420.88619191
2015-12-31,4485524.73321646
2016-01-01,2427144.34054394
2016-01-02,1197333.42088193
2016-01-03,3234230.96994164
2016-01-04,3132257.59373615
2016-01-05,3074651.93703221
2016-01-06,2634817.59167635
2016-01-07,16852985.5979698
2016-01-08,6535271.70708822
2016-01-09,2575620.62408472
2016-01-10,8934892.77342355
