Date,mining/thermocap
2016-11-20,1993408846.654664
2016-11-21,1994683912.575277
2016-11-22,1995924022.452821
2016-11-23,1997286806.902661
2016-11-24,1998780103.5612738
2016-11-25,2000174648.039393
2016-11-26,2001577862.8017488
2016-11-27,2002893897.8235538
2016-11-28,2004391630.5137904
2016-11-29,2005753448.4029944
2016-11-30,2007063198.5074234
2016-12-01,2008429115.6516693
2016-12-02,2009801601.1619322
2016-12-03,2011445689.1712406
2016-12-04,2012858516.2908533
2016-12-05,2014291341.4403775
2016-12-06,2015709195.1874166
2016-12-07,2017365710.391934
2016-12-08,2018872767.9353745
2016-12-09,2020172267.4822013
2016-12-10,2021449101.6128433
2016-12-11,2023246820.6188157
2016-12-12,2024759743.3203034
2016-12-13,2026494881.3956168
2016-12-14,2027847117.9884543
2016-12-15,2029082371.5019314
2016-12-16,2030378431.894939
2016-12-17,2031797792.7779524
2016-12-18,2033189554.2757442
2016-12-19,2034684684.0070245
2016-12-20,2036050263.2222042
2016-12-21,2037668386.0688124
2016-12-22,2039370179.5379453
2016-12-23,2041076318.8512683
2016-12-24,2042619371.4535284
2016-12-25,2044422756.9282775
2016-12-26,2046019469.8260865
2016-12-27,2047807320.5659876
2016-12-28,2049763364.2963824
2016-12-29,2051585276.1480744
2016-12-30,2053459075.3619242
2016-12-31,2055233209.4179132
2017-01-01,2057141430.1267433
2017-01-02,2059154259.5775843
2017-01-03,2061244587.2361941
2017-01-04,2063309624.256967
2017-01-05,2065149023.9940064
2017-01-06,2067031049.7732444
2017-01-07,2068538169.2648046
2017-01-08,2070458770.1005535
2017-01-09,2071984054.5293581
2017-01-10,2073794044.7157419
2017-01-11,2075418016.9010286
2017-01-12,2077108502.105679
2017-01-13,2078626406.9371707
2017-01-14,2080413016.2263741
2017-01-15,2082128677.4607775
2017-01-16,2083884358.6654136
2017-01-17,2085617743.8683512
2017-01-18,2087280721.8491561
2017-01-19,2089227200.6491523
2017-01-20,2091345572.3050575
2017-01-21,2093423994.4569976
2017-01-22,2095437586.8997326
2017-01-23,2097028104.9140012
2017-01-24,2098718887.08365
2017-01-25,2100387677.9343219
2017-01-26,2102146478.4602609
2017-01-27,2104099029.366728
2017-01-28,2105851354.8034356
2017-01-29,2107773342.6597395
2017-01-30,2109427719.1780255
2017-01-31,2111136390.7434957
2017-02-01,2113473103.455955
2017-02-02,2115423632.0892084
2017-02-03,2117310318.3237305
2017-02-04,2119143972.808802
2017-02-05,2121174362.4693863
2017-02-06,2122770747.973276
2017-02-07,2124739631.3565283
2017-02-08,2126663127.098976
2017-02-09,2128830029.7143257
2017-02-10,2130632335.3255723
2017-02-11,2132389593.612743
2017-02-12,2134152794.1013358
2017-02-13,2136195241.1825476
2017-02-14,2138323424.5865865
2017-02-15,2140080144.1421943
2017-02-16,2142020108.7399907
2017-02-17,2143999381.980285
2017-02-18,2146008687.618967
2017-02-19,2147779629.2916512
2017-02-20,2149741983.734912
2017-02-21,2151644116.470531
2017-02-22,2153583087.5194635
2017-02-23,2155736628.869035
2017-02-24,2158154383.59372
2017-02-25,2160597713.016095
2017-02-26,2163190331.4239607
2017-02-27,2165328932.26357
2017-02-28,2167613112.785629
2017-03-01,2169789672.469696
2017-03-02,2172230185.112347
2017-03-03,2174639838.813487
2017-03-04,2176746969.8735237
2017-03-05,2179071734.8084683
2017-03-06,2181342724.0425873
2017-03-07,2183746438.2545023
2017-03-08,2185871441.477329
2017-03-09,2188052268.576414
2017-03-10,2190404142.381515
2017-03-11,2192593852.1067333
2017-03-12,2194924527.2365746
2017-03-13,2197166265.994065
2017-03-14,2199596060.0118284
2017-03-15,2201819914.3037367
2017-03-16,2204157532.4428897
2017-03-17,2206333981.2762504
2017-03-18,2208361268.1692095
2017-03-19,2210447528.699982
2017-03-20,2212206990.7033825
2017-03-21,2214132441.8523
2017-03-22,2216223613.9120407
2017-03-23,2218139642.5880833
2017-03-24,2220320813.9595804
2017-03-25,2221864692.492094
2017-03-26,2223878232.6134644
2017-03-27,2225529319.240585
2017-03-28,2227551962.392874
2017-03-29,2229336404.706667
2017-03-30,2231462397.2236543
2017-03-31,2233248118.704416
2017-04-01,2235038805.6122794
2017-04-02,2237189533.8120685
2017-04-03,2239688328.0396037
2017-04-04,2241478502.657194
2017-04-05,2243768713.446587
2017-04-06,2245914695.3232236
2017-04-07,2248326843.2793384
2017-04-08,2250361976.1751266
2017-04-09,2252734767.942591
2017-04-10,2254959057.395038
2017-04-11,2257494769.0884657
2017-04-12,2259657712.6558256
2017-04-13,2261544981.848798
2017-04-14,2263592435.673999
2017-04-15,2265804827.2532296
2017-04-16,2267954525.7761326
2017-04-17,2269986634.2849445
2017-04-18,2272176519.373189
2017-04-19,2274323764.2791815
2017-04-20,2276434220.8616962
2017-04-21,2279033904.593024
2017-04-22,2281286392.5507298
2017-04-23,2283664877.8723087
2017-04-24,2285601243.9965687
2017-04-25,2287951307.045621
2017-04-26,2290423473.5353804
2017-04-27,2292850435.038945
2017-04-28,2295120246.531663
