Date,transactions/transfers_volume_to_exchanges_sum
2013-01-20,1393.79750558
2013-01-21,4420.10336118
2013-01-22,5141.06865427
2013-01-23,4318.50084879
2013-01-24,7938.38120283
2013-01-25,5472.40437552
2013-01-26,1271.58412449
2013-01-27,2341.91207603
2013-01-28,2904.31050368
2013-01-29,6317.77385408
2013-01-30,3720.39163243
2013-01-31,3143.21913159
2013-02-01,5479.12333245
2013-02-02,4119.84493479
2013-02-03,1079.11085585
2013-02-04,2964.67493406
2013-02-05,2531.13770085
2013-02-06,8445.01003795
2013-02-07,1673.75706102535
2013-02-08,5915.70844889
2013-02-09,3002.20693629
2013-02-10,1322.60696899
2013-02-11,3571.03362870571
2013-02-12,4717.56704625
2013-02-13,5519.59268785
2013-02-14,6250.78196199
2013-02-15,5909.15568409
2013-02-16,2852.89251999
2013-02-17,6801.12507328
2013-02-18,3293.53564822
2013-02-19,4073.3261659
2013-02-20,2309.56234279
2013-02-21,4429.19653155
2013-02-22,4594.23769922195
2013-02-23,3193.73780427
2013-02-24,800.1204542
2013-02-25,13964.47771274
2013-02-26,6903.88895933977
2013-02-27,2485.45403568
2013-02-28,10701.6424136552
2013-03-01,4108.35269101855
2013-03-02,3439.09428998
2013-03-03,1066.13533825387
2013-03-04,6316.2922325
2013-03-05,8045.86446138
2013-03-06,7571.32371955
2013-03-07,9622.75711257
2013-03-08,5422.60938854
2013-03-09,2937.98792219
2013-03-10,1780.89693389
2013-03-11,2037.89345847604
2013-03-12,5553.93658916
2013-03-13,1794.23607506
2013-03-14,2928.48504748
2013-03-15,1842.81561207658
2013-03-16,1408.72266209
2013-03-17,792.626376178199
2013-03-18,2480.26121649
2013-03-19,4398.20554455
2013-03-20,6837.07223298
2013-03-21,7063.67913596
2013-03-22,5243.23915718
2013-03-23,9482.77306717481
2013-03-24,2129.63754905
2013-03-25,5977.80312864
2013-03-26,6376.36526855
2013-03-27,3342.87540957367
2013-03-28,5612.1569973672
2013-03-29,3527.79993699
2013-03-30,1228.55325645237
2013-03-31,2211.85696156
2013-04-01,3691.95421288025
2013-04-02,8435.44213488247
2013-04-03,6434.50671466
2013-04-04,5457.54203817883
2013-04-05,6156.58291592942
2013-04-06,2581.47394046068
2013-04-07,2883.20419995473
2013-04-08,5063.47454452
2013-04-09,7268.64845156189
2013-04-10,14203.1906067465
2013-04-11,25100.51513197
2013-04-12,15736.45694702
2013-04-13,7008.14762045
2013-04-14,5365.44482851
2013-04-15,10763.952705904
2013-04-16,11939.3372560787
2013-04-17,9284.87859702
2013-04-18,6452.043129703
2013-04-19,7795.92741474788
2013-04-20,10469.0853103267
2013-04-21,5135.04004524589
2013-04-22,4645.81659898938
2013-04-23,6303.75569076751
2013-04-24,6126.33326744059
2013-04-25,4726.02150603409
2013-04-26,4507.8174747548
2013-04-27,5843.12123804024
2013-04-28,3452.87092624256
2013-04-29,3959.37257118775
2013-04-30,3780.91338842
2013-05-01,10957.7680146734
2013-05-02,9660.30304530992
2013-05-03,12356.803808117
2013-05-04,4927.07681398197
2013-05-05,2723.87020622276
2013-05-06,9135.18712365848
2013-05-07,7146.22937822436
2013-05-08,5081.9123745982
2013-05-09,4379.10958243049
2013-05-10,7304.38123933168
2013-05-11,2132.20132805638
2013-05-12,3904.55698085044
2013-05-13,2519.97141687463
2013-05-14,7050.38763155772
2013-05-15,8264.62695962849
2013-05-16,13411.3391090986
2013-05-17,6308.97393113377
2013-05-18,5129.61672781521
2013-05-19,5380.72130112287
2013-05-20,4266.19002427855
2013-05-21,3652.52790092051
2013-05-22,7061.03769648316
2013-05-23,6401.96362039126
2013-05-24,13200.1904419909
2013-05-25,2256.47856231461
2013-05-26,2239.16229788878
2013-05-27,5230.22375282568
2013-05-28,4125.7251433499
2013-05-29,5000.49527619136
2013-05-30,5290.66587562147
2013-05-31,5533.27374760004
2013-06-01,3463.54308142124
2013-06-02,8375.51949492801
2013-06-03,8267.15615939115
2013-06-04,5311.86523485291
2013-06-05,2770.79208583238
2013-06-06,5055.23144032768
2013-06-07,11386.8561599173
2013-06-08,6762.1982434951
2013-06-09,12803.0268641223
2013-06-10,8294.14547118071
2013-06-11,3919.52514641009
2013-06-12,4040.39973521108
2013-06-13,9189.7161863208
2013-06-14,4794.37624616063
2013-06-15,1932.27848096715
2013-06-16,8110.60724864757
2013-06-17,3575.45810561322
2013-06-18,4020.2195716485
2013-06-19,3315.34167424136
2013-06-20,8636.40700797791
2013-06-21,36615.7605735652
2013-06-22,4414.29926141307
2013-06-23,2611.6112902115
2013-06-24,8178.4358140534
2013-06-25,10270.967008949
2013-06-26,3472.92953524205
2013-06-27,8491.70628553421
2013-06-28,10324.8311953539
2013-06-29,2847.40226104651
2013-06-30,4384.65834161516
2013-07-01,19730.336521498
2013-07-02,10043.8827264752
2013-07-03,12549.9005094181
2013-07-04,16144.5586305956
2013-07-05,17140.1356168952
2013-07-06,8731.60799454021
2013-07-07,3221.81648297824
2013-07-08,6512.2882351923
2013-07-09,9134.11029552953
2013-07-10,15956.6093600531
2013-07-11,8993.62315240046
2013-07-12,11584.2992377651
2013-07-13,7862.39563719198
2013-07-14,5496.43299065271
2013-07-15,9373.65905530006
2013-07-16,6993.99894354444
2013-07-17,8503.76182851257
2013-07-18,39411.627017458
2013-07-19,11702.1233143803
2013-07-20,5660.01543648462
2013-07-21,3221.52937683083
2013-07-22,10684.3224810217
2013-07-23,6262.2494283659
2013-07-24,7606.58834866626
2013-07-25,5737.52375603545
2013-07-26,5599.02068492784
2013-07-27,5158.57714578745
2013-07-28,6888.12358522051
2013-07-29,14247.5202769175
2013-07-30,8191.58689991189
2013-07-31,15025.3668399858
2013-08-01,5922.29662643887
2013-08-02,12006.7353798133
2013-08-03,10585.0040328
2013-08-04,1423.20256884046
2013-08-05,20155.7733075454
2013-08-06,7107.04760714579
2013-08-07,13875.0759591356
2013-08-08,12349.7600408948
2013-08-09,8176.18860427518
2013-08-10,10100.8080451484
2013-08-11,1946.70858282557
2013-08-12,4699.75480770131
2013-08-13,9923.5846857207
2013-08-14,12295.5783148719
2013-08-15,11056.3193674697
2013-08-16,9535.52008107907
2013-08-17,10591.8890383069
2013-08-18,4737.5520261979
2013-08-19,11294.0744976041
2013-08-20,12572.5755789467
2013-08-21,19013.6818025308
2013-08-22,15218.9256635599
2013-08-23,17265.150939972
2013-08-24,2855.07666656536
2013-08-25,6063.0195047687
2013-08-26,15202.5628247256
2013-08-27,13906.0354212227
2013-08-28,9627.979467507
2013-08-29,9333.97664374093
2013-08-30,10838.8947239742
2013-08-31,11509.6361388395
2013-09-01,6053.88422236805
2013-09-02,11069.0828264429
2013-09-03,13483.0390614915
2013-09-04,12431.9349957786
2013-09-05,19700.0978617308
2013-09-06,12065.7419522362
2013-09-07,8638.41550765436
2013-09-08,5638.27198940956
2013-09-09,9983.30582679579
2013-09-10,5587.64207620167
2013-09-11,7981.21864157246
2013-09-12,14054.7684260131
2013-09-13,13352.928670077
2013-09-14,7849.72318156538
2013-09-15,2255.19691796501
2013-09-16,5835.69905018019
2013-09-17,10362.3433021499
2013-09-18,18276.6020886526
2013-09-19,8860.9400196649
2013-09-20,8579.95236544515
2013-09-21,3993.18894969581
2013-09-22,2273.98358221723
2013-09-23,10745.038567127
2013-09-24,7950.84304858016
2013-09-25,8324.28097234608
2013-09-26,8419.46272775326
2013-09-27,10736.9704198123
2013-09-28,8385.10664089992
2013-09-29,6195.86669696967
2013-09-30,9130.50192013412
2013-10-01,48291.0208572132
2013-10-02,40001.2873058709
2013-10-03,17807.9250657566
2013-10-04,15090.9889793647
2013-10-05,3421.59701659527
2013-10-06,9445.16326656697
2013-10-07,10044.8798818264
2013-10-08,11127.6074390326
2013-10-09,20907.3239031222
2013-10-10,11654.5509772138
2013-10-11,5259.09823942693
2013-10-12,13040.8907338374
2013-10-13,9618.65174658658
2013-10-14,42572.2925212339
2013-10-15,9245.57273381404
2013-10-16,18492.9564542854
2013-10-17,11253.0242807065
2013-10-18,15843.2388781604
2013-10-19,18499.9532766611
2013-10-20,16416.4266485903
2013-10-21,23737.7845141567
2013-10-22,37521.2583305513
2013-10-23,15522.9841150136
2013-10-24,24636.2586236446
2013-10-25,18805.6932709564
2013-10-26,12441.3935974393
2013-10-27,9087.25937096032
2013-10-28,8015.64272917346
2013-10-29,12126.7405316845
2013-10-30,21230.3201786944
2013-10-31,12043.2853508659
2013-11-01,7153.26585914751
2013-11-02,5030.18829951687
2013-11-03,4892.60297009643
2013-11-04,106510.946580956
2013-11-05,30286.6997488824
2013-11-06,21316.8164704401
2013-11-07,31045.962454349
2013-11-08,33757.369877704
2013-11-09,28336.2294006835
2013-11-10,20339.8792105944
2013-11-11,11998.1854830668
2013-11-12,20865.2101324804
2013-11-13,27624.3969519742
2013-11-14,22049.9785105807
2013-11-15,16160.7540385468
2013-11-16,15704.0604341029
2013-11-17,18299.1859898303
2013-11-18,24912.1900701144
2013-11-19,38022.9659262416
2013-11-20,25050.6198257603
2013-11-21,21492.195038419
2013-11-22,22767.0516829026
2013-11-23,32593.0312411699
2013-11-24,14314.8377709874
2013-11-25,22524.7935289032
2013-11-26,77731.6180898777
2013-11-27,25286.7752914218
2013-11-28,28308.1723328277
2013-11-29,66298.9269800662
2013-11-30,13097.7442189332
2013-12-01,28607.2160672557
