Date,fees/fee_ratio_multiple
2013-11-06,28.982720700593866
2013-11-07,29.015022799483123
2013-11-08,32.36111774405773
2013-11-09,67.00842678133826
2013-11-10,94.27217112638387
2013-11-11,76.13236437463486
2013-11-12,224.22189788640674
2013-11-13,183.27353796525807
2013-11-14,198.72134110766615
2013-11-15,240.65864777782306
2013-11-16,340.969400510857
2013-11-17,273.13263307719416
2013-11-18,144.2150160935561
2013-11-19,128.3820599896276
2013-11-20,163.1870596184959
2013-11-21,142.19998524305774
2013-11-22,185.5699780763187
2013-11-23,203.22576538787158
2013-11-24,240.50795526728393
2013-11-25,221.64966900860978
2013-11-26,158.5073513435811
2013-11-27,143.2102732536336
2013-11-28,148.2024780306531
2013-11-29,166.76797694742586
2013-11-30,219.0265680575576
2013-12-01,259.19826879496094
2013-12-02,189.05431101606771
2013-12-03,246.02685699195086
2013-12-04,206.21072582288247
2013-12-05,189.51129757609758
2013-12-06,271.8103095203778
2013-12-07,131.03038026336995
2013-12-08,429.14119917236786
2013-12-09,259.18019054561796
2013-12-10,275.2712239884085
2013-12-11,237.44441580183863
2013-12-12,285.145174004731
2013-12-13,288.4290500469301
2013-12-14,400.1602571340381
2013-12-15,385.1292299274519
2013-12-16,320.95259266573163
2013-12-17,334.7312782358938
2013-12-18,267.8351335511774
2013-12-19,343.6390910475529
2013-12-20,274.94188363814436
2013-12-21,324.68570153122243
2013-12-22,369.5033818645601
2013-12-23,353.96330657782573
2013-12-24,351.15032612363234
2013-12-25,329.7912403837158
2013-12-26,337.7602238304816
2013-12-27,375.61469667057514
2013-12-28,322.64900990151875
2013-12-29,289.6293510551682
2013-12-30,369.34188268185676
2013-12-31,419.7143562292943
2014-01-01,548.2303857606267
2014-01-02,243.54470783158618
2014-01-03,292.2574539539278
2014-01-04,287.87694197988804
2014-01-05,347.172802708976
2014-01-06,158.58314140932356
2014-01-07,285.9253681654452
2014-01-08,342.5933334098502
2014-01-09,405.06677128516253
2014-01-10,373.86721121640466
2014-01-11,429.4137362947457
2014-01-12,439.6413275169973
2014-01-13,353.36209902891346
2014-01-14,252.71247126051884
2014-01-15,273.99321802651724
2014-01-16,350.1289082387344
2014-01-17,260.02682638388933
2014-01-18,342.89602146902035
2014-01-19,370.91707335634266
2014-01-20,320.0867885085507
2014-01-21,267.0414227392694
2014-01-22,325.71779101500675
2014-01-23,264.4494492208528
2014-01-24,310.0430123651131
2014-01-25,349.01206078697055
2014-01-26,324.4260520330063
2014-01-27,324.2347690233111
2014-01-28,272.9319003640048
2014-01-29,286.4298600094004
2014-01-30,331.9513349187231
2014-01-31,320.90725493663473
2014-02-01,414.63748048541527
2014-02-02,431.43630198243494
2014-02-03,373.60966310403023
2014-02-04,303.3398147166273
2014-02-05,304.90899625137155
2014-02-06,304.04184869263827
2014-02-07,254.11584329350057
2014-02-08,371.9141277643533
2014-02-09,325.50633676362963
2014-02-10,297.8133317029199
2014-02-11,314.05389924421644
2014-02-12,278.48564878520466
2014-02-13,317.7255884327448
2014-02-14,280.279160448967
2014-02-15,373.32977835754645
2014-02-16,431.53281305834724
2014-02-17,165.46179772711506
2014-02-18,306.2566963487291
2014-02-19,346.8100803430934
2014-02-20,299.66067231231943
2014-02-21,274.6165508681581
2014-02-22,366.36185800937403
2014-02-23,349.66264804629037
2014-02-24,314.73601951314254
2014-02-25,228.29234397526366
2014-02-26,310.48935587757234
2014-02-27,327.06743349808903
2014-02-28,276.78218890931845
2014-03-01,286.8099453956765
2014-03-02,324.2030439654218
2014-03-03,215.6760820192367
2014-03-04,215.27446399296042
2014-03-05,273.31974280436503
2014-03-06,296.10619743136414
2014-03-07,300.39836000558734
2014-03-08,362.3134174234796
2014-03-09,365.4105473852037
2014-03-10,229.98898138586134
2014-03-11,275.6298439083544
2014-03-12,276.47042488581945
2014-03-13,277.43369496475765
2014-03-14,244.49478740126656
2014-03-15,378.9688134276052
2014-03-16,346.22856622786605
2014-03-17,308.68258651023376
2014-03-18,375.69036589048034
2014-03-19,297.7039640263771
2014-03-20,323.1902682287499
2014-03-21,317.81730324477843
2014-03-22,242.76357891038094
2014-03-23,481.49995303404853
2014-03-24,362.6039455095814
2014-03-25,270.68444953627926
2014-03-26,263.4077575586223
2014-03-27,315.2834532303755
2014-03-28,353.94497768083875
2014-03-29,447.8195910036108
2014-03-30,322.5561220126992
2014-03-31,357.0533314055182
2014-04-01,348.12013924157225
2014-04-02,372.8611233721882
2014-04-03,380.1826909364794
2014-04-04,361.51453353035964
2014-04-05,383.8358962056285
2014-04-06,365.7850881746629
2014-04-07,266.9410110769524
2014-04-08,227.90958834121415
2014-04-09,199.67508399112577
2014-04-10,270.47432852739746
2014-04-11,304.0136354873711
2014-04-12,444.7144993675024
2014-04-13,454.8895904862287
2014-04-14,315.5768100208511
2014-04-15,276.7651771829022
2014-04-16,279.4696415374144
2014-04-17,282.7504786058703
2014-04-18,329.94431919377797
2014-04-19,316.1473179922658
2014-04-20,410.50015890676667
2014-04-21,343.6468498195593
2014-04-22,252.72892246025714
2014-04-23,284.2655660924791
2014-04-24,253.55063463271688
2014-04-25,334.46962762259466
2014-04-26,446.8904430177487
2014-04-27,377.63717284661055
2014-04-28,298.10151692771194
2014-04-29,339.84506134321794
2014-04-30,265.40484117281864
2014-05-01,406.6679053075408
2014-05-02,339.877848379556
2014-05-03,346.01218733198846
2014-05-04,382.8808631774846
2014-05-05,231.91742427859458
2014-05-06,324.24983876198064
2014-05-07,294.53723327029456
2014-05-08,308.339281852866
2014-05-09,273.8902854758763
2014-05-10,444.2065131355199
2014-05-11,392.74574478916463
2014-05-12,295.29124427044377
2014-05-13,328.34669916201517
2014-05-14,311.4227240797982
2014-05-15,334.9494198880652
2014-05-16,389.8801143307192
2014-05-17,465.5392427725927
2014-05-18,494.4301128796545
2014-05-19,369.2563632174378
2014-05-20,331.59151168034793
2014-05-21,342.9214407206203
2014-05-22,337.99133535480433
2014-05-23,325.0641791689868
2014-05-24,343.66691890156056
2014-05-25,397.767365833098
2014-05-26,315.052801029578
2014-05-27,281.0345556711555
2014-05-28,303.65514003264497
2014-05-29,295.94564105397126
2014-05-30,360.97116909428223
2014-05-31,381.9194758274787
2014-06-01,407.97134755668895
2014-06-02,413.2370010274048
2014-06-03,332.0877070278598
2014-06-04,377.88360983162687
2014-06-05,308.69485221662
2014-06-06,322.73852619030674
2014-06-07,442.2328407209874
2014-06-08,385.34050550321683
2014-06-09,352.5041635113873
2014-06-10,359.4944631491876
2014-06-11,324.7727164992002
2014-06-12,333.37423963817685
2014-06-13,353.87452584596343
2014-06-14,490.5560009473712
2014-06-15,498.9813518648178
2014-06-16,393.0124262000534
2014-06-17,383.5393919523059
2014-06-18,306.93873881299857
2014-06-19,357.22641790712373
2014-06-20,434.93525466139926
2014-06-21,507.01327678723834
2014-06-22,499.77811554046525
2014-06-23,390.53238000258716
2014-06-24,425.8581902005074
2014-06-25,379.2274390083377
2014-06-26,422.84037564724605
