Date,addresses/new_non_zero_count
2017-01-20,2348.0
2017-01-21,2289.0
2017-01-22,2542.0
2017-01-23,2191.0
2017-01-24,2243.0
2017-01-25,2233.0
2017-01-26,2298.0
2017-01-27,2101.0
2017-01-28,1931.0
2017-01-29,1906.0
2017-01-30,1921.0
2017-01-31,1668.0
2017-02-01,1685.0
2017-02-02,1732.0
2017-02-03,1635.0
2017-02-04,1802.0
2017-02-05,1653.0
2017-02-06,1592.0
2017-02-07,1844.0
2017-02-08,1873.0
2017-02-09,1783.0
2017-02-10,1911.0
2017-02-11,1565.0
2017-02-12,1751.0
2017-02-13,1963.0
2017-02-14,2590.0
2017-02-15,2505.0
2017-02-16,2001.0
2017-02-17,1917.0
2017-02-18,2035.0
2017-02-19,1832.0
2017-02-20,2223.0
2017-02-21,2069.0
2017-02-22,1891.0
2017-02-23,2043.0
2017-02-24,2498.0
2017-02-25,2258.0
2017-02-26,2426.0
2017-02-27,3007.0
2017-02-28,4361.0
2017-03-01,4513.0
2017-03-02,5685.0
2017-03-03,5787.0
2017-03-04,4272.0
2017-03-05,3575.0
2017-03-06,4597.0
2017-03-07,3770.0
2017-03-08,4193.0
2017-03-09,5028.0
2017-03-10,4664.0
2017-03-11,5826.0
2017-03-12,7282.0
2017-03-13,11664.0
2017-03-14,8948.0
2017-03-15,9510.0
2017-03-16,16328.0
2017-03-17,15450.0
2017-03-18,11833.0
2017-03-19,8506.0
2017-03-20,8902.0
2017-03-21,9731.0
2017-03-22,7664.0
2017-03-23,7556.0
2017-03-24,10515.0
2017-03-25,9405.0
2017-03-26,7178.0
2017-03-27,8851.0
2017-03-28,8588.0
2017-03-29,8654.0
2017-03-30,13626.0
2017-03-31,13712.0
2017-04-01,7185.0
2017-04-02,9724.0
2017-04-03,12168.0
2017-04-04,9327.0
2017-04-05,8842.0
2017-04-06,12794.0
2017-04-07,7355.0
2017-04-08,5810.0
2017-04-09,5395.0
2017-04-10,6459.0
2017-04-11,5918.0
2017-04-12,7029.0
2017-04-13,8130.0
2017-04-14,6454.0
2017-04-15,6309.0
2017-04-16,4413.0
2017-04-17,5806.0
2017-04-18,7308.0
2017-04-19,7828.0
2017-04-20,8497.0
2017-04-21,6275.0
2017-04-22,5893.0
2017-04-23,6151.0
2017-04-24,8057.0
2017-04-25,7082.0
2017-04-26,13918.0
2017-04-27,12244.0
2017-04-28,11274.0
2017-04-29,10083.0
2017-04-30,10991.0
2017-05-01,13394.0
2017-05-02,11999.0
2017-05-03,11041.0
2017-05-04,16190.0
2017-05-05,14831.0
2017-05-06,12801.0
2017-05-07,15189.0
2017-05-08,17643.0
2017-05-09,17809.0
2017-05-10,16499.0
2017-05-11,18029.0
2017-05-12,15475.0
2017-05-13,13311.0
