Date,fees/gas_price_median
2017-09-22,21000000000.0
2017-09-23,21000000000.0
2017-09-24,21000000000.0
2017-09-25,21000000000.0
2017-09-26,21000000000.0
2017-09-27,21000000000.0
2017-09-28,21000000000.0
2017-09-29,20000000000.0
2017-09-30,22993062197.0
2017-10-01,21000000000.0
2017-10-02,21000000000.0
2017-10-03,21000000000.0
2017-10-04,21000000000.0
2017-10-05,21000000000.0
2017-10-06,21000000000.0
2017-10-07,21000000000.0
2017-10-08,21000000000.0
2017-10-09,21000000000.0
2017-10-10,21000000000.0
2017-10-11,22284624259.0
2017-10-12,21000000000.0
2017-10-13,24000000000.0
2017-10-14,21000000000.0
2017-10-15,21000000000.0
2017-10-16,20000000000.0
2017-10-17,8000000000.000001
2017-10-18,8000000000.000001
2017-10-19,8000000000.000001
2017-10-20,5000000000.0
2017-10-21,6000000000.0
2017-10-22,4000000000.0000005
2017-10-23,10000000000.0
2017-10-24,10000000000.0
2017-10-25,8000000000.000001
2017-10-26,8000000000.000001
2017-10-27,4200000000.0000005
2017-10-28,4000000000.0000005
2017-10-29,4000000000.0000005
2017-10-30,6100000000.0
2017-10-31,8000000000.000001
2017-11-01,10500000000.0
2017-11-02,20000000000.0
2017-11-03,9000000000.0
2017-11-04,6000000000.0
2017-11-05,4000000000.0000005
2017-11-06,4000000000.0000005
2017-11-07,5000000000.0
2017-11-08,10000000000.0
2017-11-09,14999999999.999998
2017-11-10,14702135296.0
2017-11-11,18000000000.0
2017-11-12,20000000000.0
2017-11-13,20000000000.0
2017-11-14,20000000000.0
2017-11-15,20000000000.0
2017-11-16,12600000000.0
2017-11-17,12000000000.0
2017-11-18,10000000000.0
2017-11-19,10000000000.0
2017-11-20,17000000000.0
2017-11-21,20000000000.0
2017-11-22,20000000000.0
2017-11-23,16000000000.000002
2017-11-24,16300000000.0
2017-11-25,8000000000.000001
2017-11-26,10000000000.0
2017-11-27,20000000000.0
2017-11-28,20000000000.0
2017-11-29,20000000000.0
2017-11-30,20000000000.0
2017-12-01,10000000000.0
2017-12-02,10000000000.0
2017-12-03,10000000000.0
2017-12-04,20000000000.0
2017-12-05,29999999999.999996
2017-12-06,42000000000.0
2017-12-07,59999999999.99999
2017-12-08,57000000000.0
2017-12-09,55000000000.0
2017-12-10,41000000000.0
2017-12-11,35000000000.0
2017-12-12,31963943798.000004
2017-12-13,30010000000.000004
2017-12-14,40000000000.0
2017-12-15,29999999999.999996
2017-12-16,25000000000.0
2017-12-17,22260000000.0
2017-12-18,21000000000.0
2017-12-19,33800000000.0
2017-12-20,40000000000.0
2017-12-21,40000000000.0
2017-12-22,40000000000.0
2017-12-23,29999999999.999996
2017-12-24,28000000000.0
2017-12-25,21000000000.0
2017-12-26,21000000000.0
2017-12-27,20000000000.0
2017-12-28,20000000000.0
2017-12-29,20000000000.0
2017-12-30,20000000000.0
2017-12-31,21000000000.0
2018-01-01,20000000000.0
2018-01-02,20000000000.0
2018-01-03,21000000000.0
2018-01-04,29999999999.999996
2018-01-05,59999999999.99999
2018-01-06,90812500000.0
2018-01-07,68000000000.0
2018-01-08,74000000000.0
2018-01-09,74000000000.0
2018-01-10,100000000000.0
2018-01-11,90000000000.0
2018-01-12,50000000000.0
2018-01-13,52000000000.0
2018-01-14,52000000000.0
2018-01-15,52000000000.0
2018-01-16,52000000000.0
2018-01-17,51000000000.0
2018-01-18,51000000000.0
2018-01-19,50000000000.0
2018-01-20,49000000000.0
2018-01-21,41000000000.0
2018-01-22,29999999999.999996
2018-01-23,35000000000.0
2018-01-24,35000000000.0
2018-01-25,25000000001.0
2018-01-26,20000000000.0
2018-01-27,20000000000.0
2018-01-28,20000000000.0
2018-01-29,28312500000.0
2018-01-30,21000000000.0
2018-01-31,21000000000.0
2018-02-01,40000000000.0
2018-02-02,29999999999.999996
2018-02-03,21000000000.0
2018-02-04,20000000000.0
2018-02-05,20000000000.0
2018-02-06,22000000000.0
2018-02-07,22000000000.0
2018-02-08,20000000000.0
2018-02-09,20000000000.0
2018-02-10,20000000000.0
2018-02-11,14999999999.999998
2018-02-12,13629850624.0
2018-02-13,18000000000.0
2018-02-14,20000000000.0
2018-02-15,20000000000.0
2018-02-16,20000000000.0
2018-02-17,20000000000.0
2018-02-18,20000000000.0
2018-02-19,14000000000.0
2018-02-20,12000000000.0
2018-02-21,10000000000.0
2018-02-22,8000000000.000001
2018-02-23,10000000000.0
2018-02-24,14000000000.0
2018-02-25,8000000000.000001
2018-02-26,10000000000.0
2018-02-27,8000000000.000001
2018-02-28,14999999999.999998
2018-03-01,9000000000.0
2018-03-02,10000000000.0
2018-03-03,6360000000.0
2018-03-04,9000000000.0
2018-03-05,10000000000.0
2018-03-06,10000000000.0
2018-03-07,20000000000.0
2018-03-08,10000000000.0
2018-03-09,9000000000.0
2018-03-10,5000000000.0
2018-03-11,5000000000.0
2018-03-12,5000000000.0
2018-03-13,5000000000.0
2018-03-14,5000000000.0
2018-03-15,5000000000.0
2018-03-16,5000000000.0
2018-03-17,4000000000.0000005
2018-03-18,4000000000.0000005
2018-03-19,4000000000.0000005
