Date,addresses/receiving_count
2017-11-28,216876.0
2017-11-29,236289.0
2017-11-30,228031.0
2017-12-01,217904.0
2017-12-02,214729.0
2017-12-03,221186.0
2017-12-04,218514.0
2017-12-05,222419.0
2017-12-06,320989.0
2017-12-07,231890.0
2017-12-08,246300.0
2017-12-09,213659.0
2017-12-10,219944.0
2017-12-11,282308.0
2017-12-12,298782.0
2017-12-13,333991.0
2017-12-14,364270.0
2017-12-15,328248.0
2017-12-16,307786.0
2017-12-17,311925.0
2017-12-18,375431.0
2017-12-19,392340.0
2017-12-20,398003.0
2017-12-21,441865.0
2017-12-22,428038.0
2017-12-23,346618.0
2017-12-24,279726.0
2017-12-25,293403.0
2017-12-26,306122.0
2017-12-27,350568.0
2017-12-28,373350.0
2017-12-29,433947.0
2017-12-30,476644.0
2017-12-31,354403.0
2018-01-01,345960.0
2018-01-02,454848.0
2018-01-03,539409.0
2018-01-04,595595.0
2018-01-05,591718.0
2018-01-06,556066.0
2018-01-07,465001.0
2018-01-08,534020.0
2018-01-09,522092.0
2018-01-10,536888.0
2018-01-11,525735.0
2018-01-12,468812.0
2018-01-13,459899.0
2018-01-14,401400.0
2018-01-15,480126.0
2018-01-16,529488.0
2018-01-17,525547.0
2018-01-18,480854.0
2018-01-19,389185.0
2018-01-20,354215.0
2018-01-21,333644.0
2018-01-22,390586.0
2018-01-23,359794.0
2018-01-24,349323.0
2018-01-25,258071.0
2018-01-26,358156.0
2018-01-27,298307.0
2018-01-28,340096.0
2018-01-29,354572.0
2018-01-30,342937.0
2018-01-31,345622.0
2018-02-01,382728.0
2018-02-02,393048.0
2018-02-03,305306.0
2018-02-04,291086.0
2018-02-05,337200.0
2018-02-06,343055.0
2018-02-07,298940.0
2018-02-08,228092.0
2018-02-09,286660.0
2018-02-10,311466.0
2018-02-11,255484.0
2018-02-12,307930.0
2018-02-13,261475.0
2018-02-14,259625.0
2018-02-15,273538.0
2018-02-16,243852.0
2018-02-17,248354.0
2018-02-18,234382.0
2018-02-19,270597.0
2018-02-20,284905.0
2018-02-21,262181.0
2018-02-22,249736.0
2018-02-23,241052.0
2018-02-24,217979.0
2018-02-25,211780.0
2018-02-26,265826.0
2018-02-27,255404.0
2018-02-28,270017.0
2018-03-01,246279.0
