Date,supply/active_1w_1m
2010-08-23,"371887,320000001"
2010-08-24,"359973,520000002"
2010-08-25,"362687,040000002"
2010-08-26,"362789,080000002"
2010-08-27,"363169,010000002"
2010-08-28,"382979,150000002"
2010-08-29,"378258,100000002"
2010-08-30,"379286,820000002"
2010-08-31,"376273,140000002"
2010-09-01,"315621,820000002"
2010-09-02,"314282,730000002"
2010-09-03,"318618,330000002"
2010-09-04,"313745,930000402"
2010-09-05,"308471,410000402"
2010-09-06,"301631,020000902"
2010-09-07,"315641,830001102"
2010-09-08,"305702,320001402"
2010-09-09,"306675,890001502"
2010-09-10,"298870,740001502"
2010-09-11,"303703,080001502"
2010-09-12,"302986,940001502"
2010-09-13,"310180,400001502"
2010-09-14,"310840,240001501"
2010-09-15,"303137,850001601"
2010-09-16,"311576,230001701"
2010-09-17,"314056,129999701"
2010-09-18,"306493,769999701"
2010-09-19,"298256,379999902"
2010-09-20,"333661,840000002"
2010-09-21,"342159,429999902"
2010-09-22,"346500,700396382"
2010-09-23,"313931,020396382"
2010-09-24,"343959,210396382"
2010-09-25,"354868,070396382"
2010-09-26,"348750,789999902"
2010-09-27,"352175,469999602"
2010-09-28,"359166,459999602"
2010-09-29,"371340,209999102"
2010-09-30,"406322,949998902"
2010-10-01,"403798,949998502"
2010-10-02,"396374,599998402"
2010-10-03,"399680,989998302"
2010-10-04,"380102,489998302"
2010-10-05,"383752,991191262"
2010-10-06,"380338,501191262"
2010-10-07,"380431,991191262"
2010-10-08,"382860,232230172"
2010-10-09,"500825,642231162"
2010-10-10,"494957,079999312"
2010-10-11,"509539,799999312"
2010-10-12,"516652,989999112"
2010-10-13,"516848,879999112"
2010-10-14,"518561,939999112"
2010-10-15,"530856,499602632"
2010-10-16,"592415,959602632"
2010-10-17,"624706,839602632"
2010-10-18,"613338,659602632"
2010-10-19,"635944,799999112"
2010-10-20,"625268,819999112"
2010-10-21,"631561,312232962"
2010-10-22,"622152,272232962"
2010-10-23,"632503,262234052"
2010-10-24,"612777,722234052"
2010-10-25,"610197,062234051"
2010-10-26,"607563,782234052"
2010-10-27,"590167,642234051"
2010-10-28,"588621,978807241"
2010-10-29,"604875,658807241"
2010-10-30,"609247,278807241"
2010-10-31,"610952,777768231"
2010-11-01,"527114,447767241"
2010-11-02,"561210,937767241"
2010-11-03,"605560,46776724"
2010-11-04,"598852,69776724"
2010-11-05,"612569,04776724"
2010-11-06,"608114,38776724"
2010-11-07,"601607,68776724"
2010-11-08,"507328,11776724"
2010-11-09,"517508,64776724"
2010-11-10,"517486,70776724"
2010-11-11,"522418,16885512"
2010-11-12,"534441,89885512"
2010-11-13,"535604,04885512"
2010-11-14,"547444,58885512"
2010-11-15,"789224,768854031"
2010-11-16,"797514,59885403"
2010-11-17,"791937,598854031"
2010-11-18,"786360,497766151"
2010-11-19,"781145,987766151"
2010-11-20,"744180,400000001"
2010-11-21,"731190,830000001"
2010-11-22,"774139,990000001"
2010-11-23,"754771,390000001"
2010-11-24,"756479,270000001"
2010-11-25,"741245,791087881"
2010-11-26,"651960,471087881"
2010-11-27,"614897,571087881"
2010-11-28,"616023,321087881"
2010-11-29,"615028,541087881"
2010-11-30,"603541,561087881"
2010-12-01,"589518,411087881"
2010-12-02,"593879,901087881"
2010-12-03,"647805,841087881"
2010-12-04,"614242,571087881"
2010-12-05,"610298,001087881"
2010-12-06,"574810,941087881"
2010-12-07,"583215,061087881"
2010-12-08,"444123,701087881"
2010-12-09,"467529,211087881"
2010-12-10,"476905,801087881"
2010-12-11,"489150,077916301"
2010-12-12,"496595,167916301"
2010-12-13,"538905,501699721"
2010-12-14,"574364,796043741"
2010-12-15,"534692,541688931"
2010-12-16,"536243,746678241"
2010-12-17,"528923,878550711"
