Date,indicators/net_realized_profit_loss
2012-01-06,"283182,466722939"
2012-01-07,"99651,6116906663"
2012-01-08,"161974,392356579"
2012-01-09,"174764,185000038"
2012-01-10,"-18421,9866639055"
2012-01-11,"109198,61955647"
2012-01-12,"193467,205247137"
2012-01-13,"91156,6427658678"
2012-01-14,"65260,5952264206"
2012-01-15,"45536,7037805849"
2012-01-16,"63025,4339847801"
2012-01-17,"46901,0968530585"
2012-01-18,"-70375,0039488156"
2012-01-19,"92507,9683681542"
2012-01-20,"9055,26037285995"
2012-01-21,"11226,1199320703"
2012-01-22,"6408,54760007179"
2012-01-23,"11965,8860264523"
2012-01-24,"19586,5256709377"
2012-01-25,"-11617,7046912945"
2012-01-26,"-104710,800558632"
2012-01-27,"-87270,6943784327"
2012-01-28,"-28012,73066109"
2012-01-29,"-33392,0048700584"
2012-01-30,"-31229,5948213253"
2012-01-31,"-50716,6158394384"
2012-02-01,"14015,2504712166"
2012-02-02,"32860,5484255523"
2012-02-03,"11100,109075202"
2012-02-04,"-3863,41043100331"
2012-02-05,"-14451,1567067042"
2012-02-06,"-63421,0267453317"
2012-02-07,"-19056,3169978344"
2012-02-08,"-8102,18163362022"
2012-02-09,"-2506,77736047278"
2012-02-10,"-16462,9787795876"
2012-02-11,"2762,90385640202"
2012-02-12,"-3581,18761872915"
2012-02-13,"-381826,643148705"
2012-02-14,"-307035,625113918"
2012-02-15,"-98597,8654896099"
2012-02-16,"-185963,757774657"
2012-02-17,"-74438,717752092"
2012-02-18,"-138559,12466452"
2012-02-19,"-52457,7247039697"
2012-02-20,"-28840,1556384338"
2012-02-21,"-50742,5564191305"
2012-02-22,"-37072,0376635938"
2012-02-23,"30461,5468683498"
2012-02-24,"20182,2502209536"
2012-02-25,"33081,5850810121"
2012-02-26,"668,565459536967"
2012-02-27,"11737,6352212633"
2012-02-28,"16337,6111916289"
2012-02-29,"-319059,322580584"
2012-03-01,"9569,21822741273"
2012-03-02,"-47283,5878053616"
2012-03-03,"-46120,1350404376"
2012-03-04,"1490,01998240705"
2012-03-05,"7791,72122898768"
2012-03-06,"10715,8807496942"
2012-03-07,"8108,81265900951"
2012-03-08,"-10370,128071163"
2012-03-09,"-3499,67308788004"
2012-03-10,"-17425,1619803613"
2012-03-11,"-36310,3579910379"
2012-03-12,"-11106,9200354857"
2012-03-13,"28263,6625183729"
2012-03-14,"68767,6049578128"
2012-03-15,"35242,8957860063"
2012-03-16,"35304,8865587125"
2012-03-17,"9766,35164566978"
2012-03-18,"-35984,9702075059"
2012-03-19,"-39354,102215373"
2012-03-20,"-44874,2999057363"
2012-03-21,"-95103,4253772547"
2012-03-22,"-49705,4958638817"
2012-03-23,"-2016,89350989638"
2012-03-24,"-55184,8763084681"
2012-03-25,"-46392,0220999613"
