Date,transactions/size_sum
2010-09-26,"75681,0"
2010-09-27,"169821,0"
2010-09-28,"213255,0"
2010-09-29,"325395,0"
2010-09-30,"78412,0"
2010-10-01,"136979,0"
2010-10-02,"160101,0"
2010-10-03,"88203,0"
2010-10-04,"106560,0"
2010-10-05,"98806,0"
2010-10-06,"84535,0"
2010-10-07,"72378,0"
2010-10-08,"99697,0"
2010-10-09,"108838,0"
2010-10-10,"73742,0"
2010-10-11,"70002,0"
2010-10-12,"74792,0"
2010-10-13,"114999,0"
2010-10-14,"72411,0"
2010-10-15,"55871,0"
2010-10-16,"91041,0"
2010-10-17,"73338,0"
2010-10-18,"129166,0"
2010-10-19,"242736,0"
2010-10-20,"172237,0"
2010-10-21,"140558,0"
2010-10-22,"161212,0"
2010-10-23,"120208,0"
2010-10-24,"117457,0"
2010-10-25,"89656,0"
2010-10-26,"101344,0"
2010-10-27,"147763,0"
2010-10-28,"112329,0"
2010-10-29,"114749,0"
2010-10-30,"65627,0"
2010-10-31,"58309,0"
2010-11-01,"64721,0"
2010-11-02,"41192,0"
2010-11-03,"58086,0"
2010-11-04,"59986,0"
2010-11-05,"107446,0"
2010-11-06,"68323,0"
2010-11-07,"75394,0"
2010-11-08,"173026,0"
2010-11-09,"71900,0"
2010-11-10,"67732,0"
2010-11-11,"64603,0"
2010-11-12,"42646,0"
2010-11-13,"51391,0"
2010-11-14,"88580,0"
2010-11-15,"1714305,0"
2010-11-16,"2115470,0"
2010-11-17,"71620,0"
2010-11-18,"298188,0"
2010-11-19,"2154898,0"
2010-11-20,"2184988,0"
2010-11-21,"2270721,0"
2010-11-22,"67261,0"
2010-11-23,"75368,0"
2010-11-24,"935561,0"
2010-11-25,"1683790,0"
2010-11-26,"329563,0"
2010-11-27,"95446,0"
2010-11-28,"86034,0"
2010-11-29,"99688,0"
2010-11-30,"86993,0"
2010-12-01,"123035,0"
2010-12-02,"90536,0"
2010-12-03,"88935,0"
2010-12-04,"82720,0"
2010-12-05,"65509,0"
2010-12-06,"69394,0"
2010-12-07,"128583,0"
2010-12-08,"97204,0"
2010-12-09,"97218,0"
2010-12-10,"71931,0"
2010-12-11,"128157,0"
2010-12-12,"143471,0"
2010-12-13,"216947,0"
2010-12-14,"140120,0"
2010-12-15,"137961,0"
2010-12-16,"115971,0"
2010-12-17,"128028,0"
2010-12-18,"105742,0"
2010-12-19,"150615,0"
2010-12-20,"234339,0"
2010-12-21,"140045,0"
2010-12-22,"160065,0"
2010-12-23,"127731,0"
2010-12-24,"116313,0"
2010-12-25,"131257,0"
2010-12-26,"134987,0"
2010-12-27,"147845,0"
2010-12-28,"151949,0"
2010-12-29,"126296,0"
2010-12-30,"141575,0"
2010-12-31,"119283,0"
2011-01-01,"161990,0"
2011-01-02,"141526,0"
2011-01-03,"353722,0"
2011-01-04,"220419,0"
2011-01-05,"345338,0"
2011-01-06,"187088,0"
2011-01-07,"239739,0"
2011-01-08,"350849,0"
2011-01-09,"314448,0"
2011-01-10,"335877,0"
2011-01-11,"359634,0"
2011-01-12,"284786,0"
2011-01-13,"339290,0"
2011-01-14,"331620,0"
2011-01-15,"267193,0"
2011-01-16,"256655,0"
2011-01-17,"202802,0"
2011-01-18,"230099,0"
2011-01-19,"250007,0"
2011-01-20,"224374,0"
2011-01-21,"342937,0"
2011-01-22,"484314,0"
2011-01-23,"340125,0"
2011-01-24,"394257,0"
2011-01-25,"224631,0"
2011-01-26,"264886,0"
2011-01-27,"264352,0"
2011-01-28,"297096,0"
2011-01-29,"450323,0"
2011-01-30,"969170,0"
2011-01-31,"479566,0"
2011-02-01,"387923,0"
2011-02-02,"265191,0"
2011-02-03,"209223,0"
2011-02-04,"254106,0"
2011-02-05,"241444,0"
2011-02-06,"272666,0"
2011-02-07,"224516,0"
2011-02-08,"226641,0"
2011-02-09,"331554,0"
2011-02-10,"644152,0"
2011-02-11,"674892,0"
2011-02-12,"557270,0"
2011-02-13,"500692,0"
2011-02-14,"696564,0"
2011-02-15,"618148,0"
2011-02-16,"551292,0"
2011-02-17,"624874,0"
2011-02-18,"655728,0"
2011-02-19,"462755,0"
2011-02-20,"526754,0"
2011-02-21,"517181,0"
2011-02-22,"632708,0"
2011-02-23,"642474,0"
2011-02-24,"617712,0"
2011-02-25,"582515,0"
2011-02-26,"557203,0"
2011-02-27,"665639,0"
2011-02-28,"530439,0"
2011-03-01,"852741,0"
2011-03-02,"606745,0"
2011-03-03,"899583,0"
2011-03-04,"645544,0"
2011-03-05,"781507,0"
2011-03-06,"586320,0"
2011-03-07,"590984,0"
2011-03-08,"794433,0"
2011-03-09,"598529,0"
2011-03-10,"518975,0"
2011-03-11,"598527,0"
2011-03-12,"826623,0"
2011-03-13,"769921,0"
2011-03-14,"827187,0"
2011-03-15,"899306,0"
2011-03-16,"918720,0"
2011-03-17,"913649,0"
2011-03-18,"719249,0"
2011-03-19,"905059,0"
