Date,transactions/transfers_volume_from_exchanges_sum
2017-04-28,"542353,928782043"
2017-04-29,"333895,280417184"
2017-04-30,"336025,134349239"
2017-05-01,"1615962,63988088"
2017-05-02,"526745,308858855"
2017-05-03,"426527,778273938"
2017-05-04,"609180,542998172"
2017-05-05,"1322133,98876794"
2017-05-06,"346592,817685562"
2017-05-07,"259340,052779006"
2017-05-08,"530011,81640944"
2017-05-09,"558589,004968833"
2017-05-10,"429398,946033504"
2017-05-11,"404375,082231012"
2017-05-12,"350405,010114135"
2017-05-13,"195666,782904452"
2017-05-14,"466086,47219118"
2017-05-15,"449188,360679765"
2017-05-16,"394825,770377287"
2017-05-17,"506277,545509"
2017-05-18,"318983,825124098"
2017-05-19,"680503,982178235"
2017-05-20,"346594,864359451"
2017-05-21,"518746,422835637"
2017-05-22,"850391,51855235"
2017-05-23,"484896,784599857"
2017-05-24,"536460,55816716"
2017-05-25,"676527,077016032"
2017-05-26,"646750,012395492"
2017-05-27,"435661,363737008"
2017-05-28,"254933,488694643"
2017-05-29,"349286,902847956"
2017-05-30,"638498,582937084"
2017-05-31,"531492,28813292"
2017-06-01,"585576,965266577"
2017-06-02,"604516,095342683"
2017-06-03,"258915,381718395"
2017-06-04,"351339,705776179"
2017-06-05,"292987,273503897"
2017-06-06,"425860,736268177"
2017-06-07,"226616,383846262"
2017-06-08,"269613,174310518"
2017-06-09,"276892,099892221"
2017-06-10,"448189,243736854"
2017-06-11,"399956,362789994"
2017-06-12,"535012,554442072"
2017-06-13,"443053,808970399"
2017-06-14,"390786,908355896"
2017-06-15,"470262,386005326"
2017-06-16,"278304,334837906"
2017-06-17,"245027,106982349"
2017-06-18,"243713,535108678"
2017-06-19,"305174,683453989"
2017-06-20,"330846,565247741"
2017-06-21,"438946,76730968"
2017-06-22,"562439,974444752"
2017-06-23,"562547,535964435"
2017-06-24,"265973,425085188"
2017-06-25,"397974,062746749"
2017-06-26,"491784,242291947"
2017-06-27,"447761,530629977"
2017-06-28,"357042,344305347"
2017-06-29,"317347,501698753"
2017-06-30,"281900,886134916"
2017-07-01,"259730,466112871"
2017-07-02,"295974,757122444"
2017-07-03,"249614,99742827"
2017-07-04,"258327,800138007"
2017-07-05,"285644,228543306"
2017-07-06,"225610,200952661"
2017-07-07,"317213,678714445"
2017-07-08,"253130,089735791"
2017-07-09,"172642,047903008"
2017-07-10,"384311,582427867"
2017-07-11,"548820,731539913"
2017-07-12,"432946,744082875"
2017-07-13,"357913,321015593"
2017-07-14,"357647,37180756"
2017-07-15,"281406,413440024"
2017-07-16,"548588,585784144"
2017-07-17,"520697,468810751"
2017-07-18,"618336,423982639"
2017-07-19,"656915,28503794"
2017-07-20,"376953,696784539"
2017-07-21,"313353,094193623"
2017-07-22,"207919,024342575"
2017-07-23,"290815,872604702"
2017-07-24,"229592,074385312"
2017-07-25,"372798,105839642"
2017-07-26,"296210,904215447"
2017-07-27,"287124,13032128"
