Date,transactions/contract_calls_internal_count
2017-11-08,262321.0
2017-11-09,304084.0
2017-11-10,277342.0
2017-11-11,338624.0
2017-11-12,350145.0
2017-11-13,341009.0
2017-11-14,312452.0
2017-11-15,270657.0
2017-11-16,308958.0
2017-11-17,309921.0
2017-11-18,309822.0
2017-11-19,306338.0
2017-11-20,292858.0
2017-11-21,291521.0
2017-11-22,255462.0
2017-11-23,279023.0
2017-11-24,326726.0
2017-11-25,281563.0
2017-11-26,311625.0
2017-11-27,386652.0
2017-11-28,368322.0
2017-11-29,347141.0
2017-11-30,297662.0
2017-12-01,271125.0
2017-12-02,316474.0
2017-12-03,311944.0
2017-12-04,266055.0
2017-12-05,310601.0
2017-12-06,362438.0
2017-12-07,318569.0
2017-12-08,331216.0
2017-12-09,392809.0
2017-12-10,414906.0
2017-12-11,410932.0
2017-12-12,416124.0
2017-12-13,384109.0
2017-12-14,427931.0
2017-12-15,374528.0
2017-12-16,367896.0
2017-12-17,346086.0
2017-12-18,378921.0
2017-12-19,362325.0
2017-12-20,424941.0
2017-12-21,339189.0
2017-12-22,313854.0
2017-12-23,388232.0
2017-12-24,354476.0
2017-12-25,327573.0
2017-12-26,291504.0
2017-12-27,304718.0
2017-12-28,331180.0
2017-12-29,343067.0
2017-12-30,310472.0
2017-12-31,321763.0
2018-01-01,279190.0
2018-01-02,328762.0
2018-01-03,276641.0
2018-01-04,222529.0
2018-01-05,260371.0
2018-01-06,276902.0
2018-01-07,289202.0
2018-01-08,293455.0
2018-01-09,250705.0
2018-01-10,265246.0
2018-01-11,241932.0
2018-01-12,243243.0
2018-01-13,230720.0
2018-01-14,249968.0
2018-01-15,245072.0
2018-01-16,271415.0
2018-01-17,263102.0
2018-01-18,294946.0
2018-01-19,289876.0
2018-01-20,351562.0
2018-01-21,355867.0
2018-01-22,410285.0
2018-01-23,383233.0
2018-01-24,366375.0
2018-01-25,399029.0
2018-01-26,381758.0
2018-01-27,361360.0
2018-01-28,388585.0
2018-01-29,277572.0
2018-01-30,332356.0
2018-01-31,389219.0
2018-02-01,442911.0
2018-02-02,372761.0
2018-02-03,311542.0
2018-02-04,358356.0
2018-02-05,391954.0
2018-02-06,408640.0
2018-02-07,458219.0
2018-02-08,444038.0
2018-02-09,430962.0
2018-02-10,430440.0
2018-02-11,380642.0
2018-02-12,375653.0
2018-02-13,507186.0
2018-02-14,403435.0
2018-02-15,448258.0
2018-02-16,502464.0
2018-02-17,475435.0
2018-02-18,420173.0
2018-02-19,309654.0
2018-02-20,318831.0
2018-02-21,322560.0
2018-02-22,369276.0
2018-02-23,364158.0
2018-02-24,340409.0
2018-02-25,384198.0
2018-02-26,357016.0
2018-02-27,358329.0
2018-02-28,407195.0
2018-03-01,418658.0
2018-03-02,449671.0
2018-03-03,402551.0
2018-03-04,389054.0
2018-03-05,327651.0
2018-03-06,357563.0
2018-03-07,383086.0
2018-03-08,371449.0
2018-03-09,408366.0
2018-03-10,470318.0
2018-03-11,391775.0
2018-03-12,372133.0
2018-03-13,358166.0
2018-03-14,463853.0
2018-03-15,466439.0
2018-03-16,601209.0
2018-03-17,535351.0
2018-03-18,495571.0
2018-03-19,405457.0
2018-03-20,408295.0
2018-03-21,407735.0
2018-03-22,423945.0
2018-03-23,470525.0
2018-03-24,539787.0
2018-03-25,539456.0
2018-03-26,434202.0
2018-03-27,385966.0
2018-03-28,354389.0
2018-03-29,444971.0
2018-03-30,530107.0
2018-03-31,578842.0
2018-04-01,527883.0
2018-04-02,480889.0
2018-04-03,593912.0
2018-04-04,548074.0
2018-04-05,540510.0
2018-04-06,530560.0
2018-04-07,644365.0
2018-04-08,472509.0
2018-04-09,594489.0
2018-04-10,566818.0
2018-04-11,696704.0
2018-04-12,651517.0
2018-04-13,595978.0
2018-04-14,656646.0
2018-04-15,733342.0
2018-04-16,667371.0
2018-04-17,601539.0
2018-04-18,645251.0
2018-04-19,611909.0
2018-04-20,570305.0
2018-04-21,694609.0
2018-04-22,633235.0
2018-04-23,617123.0
2018-04-24,685676.0
2018-04-25,628837.0
2018-04-26,609214.0
2018-04-27,510951.0
2018-04-28,410640.0
2018-04-29,468458.0
2018-04-30,492442.0
2018-05-01,516010.0
2018-05-02,558677.0
2018-05-03,569138.0
2018-05-04,446806.0
2018-05-05,608792.0
2018-05-06,667644.0
2018-05-07,560025.0
2018-05-08,532194.0
2018-05-09,621206.0
2018-05-10,518123.0
2018-05-11,555211.0
2018-05-12,505720.0
2018-05-13,562631.0
2018-05-14,539815.0
2018-05-15,553221.0
2018-05-16,511600.0
2018-05-17,434111.0
2018-05-18,429765.0
2018-05-19,401410.0
2018-05-20,489568.0
2018-05-21,484450.0
2018-05-22,412223.0
2018-05-23,494438.0
2018-05-24,462724.0
2018-05-25,436077.0
2018-05-26,435574.0
2018-05-27,371152.0
2018-05-28,407770.0
2018-05-29,418079.0
2018-05-30,344404.0
2018-05-31,421912.0
2018-06-01,501855.0
2018-06-02,397315.0
2018-06-03,336699.0
2018-06-04,384155.0
2018-06-05,377565.0
2018-06-06,618494.0
2018-06-07,347266.0
2018-06-08,479849.0
2018-06-09,349264.0
2018-06-10,447621.0
2018-06-11,419928.0
2018-06-12,425497.0
2018-06-13,358892.0
