Date,distribution/balance_exchanges
2018-07-12,8228829.271579267
2018-07-13,8210822.092459522
2018-07-14,8187600.110532683
2018-07-15,8200296.538928704
2018-07-16,8297939.1356572015
2018-07-17,8322606.50603114
2018-07-18,8407021.27245363
2018-07-19,8470706.150265092
2018-07-20,8481031.47962937
2018-07-21,8503697.223983
2018-07-22,8480790.842463603
2018-07-23,8556545.974034915
2018-07-24,8613036.71103049
2018-07-25,8680612.883859565
2018-07-26,8718765.25036912
2018-07-27,8704122.076440612
2018-07-28,8727975.327828214
2018-07-29,8741915.453295534
2018-07-30,8801462.870691024
2018-07-31,8854452.469175724
2018-08-01,8855939.820970545
2018-08-02,8947633.26060286
2018-08-03,8953247.770139089
2018-08-04,8918144.25166011
2018-08-05,8939690.706363965
2018-08-06,8929698.42361902
2018-08-07,8988804.041730268
2018-08-08,9032470.520917775
2018-08-09,9033089.695697531
2018-08-10,9148084.25782536
2018-08-11,9223346.850884628
2018-08-12,9265101.122454228
2018-08-13,9364687.443592222
2018-08-14,9482580.521639884
2018-08-15,9607426.772663148
2018-08-16,9658506.76617428
2018-08-17,9707050.862562519
2018-08-18,9694794.584914349
2018-08-19,9705703.188456673
2018-08-20,9668278.968383241
2018-08-21,9749818.361007746
2018-08-22,9810612.946769537
2018-08-23,9811401.334601765
2018-08-24,9800418.75401472
2018-08-25,9830758.152656645
2018-08-26,9819834.583326256
2018-08-27,9913743.84828465
2018-08-28,9947315.971670149
2018-08-29,10007829.145019207
2018-08-30,10037701.122039594
2018-08-31,10005005.075109085
2018-09-01,10035164.945714125
2018-09-02,10033582.144145973
2018-09-03,10229750.646202097
2018-09-04,10292418.982921451
2018-09-05,10117858.544472223
2018-09-06,10182663.425790826
2018-09-07,10403522.493245233
2018-09-08,10419036.633575493
2018-09-09,10563174.16093155
2018-09-10,10810857.512876764
2018-09-11,10921275.113545444
2018-09-12,11259515.292749885
2018-09-13,11345585.705973927
2018-09-14,11357655.580643266
2018-09-15,11380356.228406893
2018-09-16,11334180.968187626
2018-09-17,11270469.019950898
2018-09-18,11270711.040849883
2018-09-19,11270623.198813606
2018-09-20,11284549.365314702
2018-09-21,11372284.150746137
2018-09-22,11693172.47762265
2018-09-23,11723181.250605462
2018-09-24,11226407.368145505
2018-09-25,11171868.764504787
2018-09-26,11126071.542614765
2018-09-27,11123758.088253047
2018-09-28,11003608.662829135
2018-09-29,11012166.846985342
2018-09-30,11189933.47831688
2018-10-01,11166495.260495983
2018-10-02,11155532.966713898
2018-10-03,11133649.478539668
2018-10-04,11211339.497013548
2018-10-05,11264725.514796855
2018-10-06,11227825.215617336
2018-10-07,11221721.475370653
2018-10-08,11296545.008415872
2018-10-09,11322659.057241255
2018-10-10,11276050.945000326
2018-10-11,11267557.964036005
2018-10-12,11181395.552757535
2018-10-13,11151704.311770968
2018-10-14,11101736.752201326
2018-10-15,11019889.09900887
2018-10-16,11117020.859243738
2018-10-17,11078463.441068659
2018-10-18,11083043.253677908
2018-10-19,11006244.01592529
2018-10-20,11159389.505550815
2018-10-21,11102203.83487713
2018-10-22,11064797.119710717
2018-10-23,11067866.443692723
2018-10-24,11085890.246546213
2018-10-25,11201083.01895884
2018-10-26,11202378.009688186
2018-10-27,11137617.194093563
2018-10-28,11082908.715032786
2018-10-29,11172279.310660196
2018-10-30,11164337.83327774
2018-10-31,11049665.965277862
2018-11-01,11027481.44753579
2018-11-02,11111840.868965017
2018-11-03,11099502.614393597
2018-11-04,11061755.342509802
2018-11-05,11266063.974170495
2018-11-06,11238456.247575933
2018-11-07,11351170.693694854
2018-11-08,11372289.208598197
2018-11-09,11260448.54398156
2018-11-10,11267861.217511063
2018-11-11,11210415.548006842
2018-11-12,11350748.893012278
2018-11-13,11314798.706355473
2018-11-14,11281573.396181423
2018-11-15,11382976.54947997
2018-11-16,11354774.342058511
2018-11-17,11362550.47587899
2018-11-18,11484542.795884816
2018-11-19,11792217.30654444
2018-11-20,12053567.910098795
2018-11-21,12034449.282294668
2018-11-22,12226490.917476594
2018-11-23,12335867.794097587
2018-11-24,12386759.095178131
2018-11-25,12469820.505650882
2018-11-26,12676431.843422256
2018-11-27,12699714.788186427
2018-11-28,12628965.601691945
2018-11-29,12544289.356216881
2018-11-30,12518392.726987481
2018-12-01,12555358.387083875
2018-12-02,12543901.371481419
2018-12-03,12583956.965691995
2018-12-04,12546546.834842155
2018-12-05,12635261.361627335
2018-12-06,12880156.566878717
2018-12-07,13017761.52481507
2018-12-08,13197892.320478406
2018-12-09,13309859.730499925
2018-12-10,13326079.039589394
2018-12-11,13373548.366487365
2018-12-12,13486432.321263801
2018-12-13,13025256.795215202
2018-12-14,12972036.204253137
2018-12-15,12935979.283383986
2018-12-16,12870829.045186255
2018-12-17,13093624.805701314
2018-12-18,13155391.27152126
2018-12-19,13116673.14087542
2018-12-20,13168150.539987955
2018-12-21,13371052.475283675
2018-12-22,13375135.353381604
2018-12-23,13421885.695177315
2018-12-24,13410254.714189403
2018-12-25,13395338.363389648
2018-12-26,13374486.369405095
2018-12-27,13619311.422062863
2018-12-28,13698139.047956746
2018-12-29,13733914.659153048
2018-12-30,13798334.018834982
2018-12-31,13719289.570630439
2019-01-01,13688286.676849786
2019-01-02,13796713.49471727
2019-01-03,13816324.54694167
2019-01-04,13315733.128411658
2019-01-05,12577596.754158853
2019-01-06,12721072.30658138
2019-01-07,12864691.62313638
2019-01-08,12910210.565068042
2019-01-09,12934572.521841995
2019-01-10,12894887.226559162
2019-01-11,13198158.248847436
2019-01-12,13223588.305378718
2019-01-13,13306099.793669814
2019-01-14,13766846.394260678
2019-01-15,13693142.382527808
2019-01-16,13727901.925824787
2019-01-17,13736526.453888195
2019-01-18,13758268.303182522
2019-01-19,13744875.42719975
2019-01-20,13792266.88115523
2019-01-21,13780678.457477182
2019-01-22,13811922.754041675
2019-01-23,13792456.603689421
2019-01-24,13852651.56756882
2019-01-25,13847732.433448004
2019-01-26,13833383.422895856
2019-01-27,13909078.749138258
2019-01-28,13984968.861948663
2019-01-29,13944450.609491892
2019-01-30,13883533.140531935
2019-01-31,13924351.321550852
2019-02-01,13941292.352472259
2019-02-02,13931166.219338352
2019-02-03,13959484.466772174
2019-02-04,13956350.941155702
2019-02-05,13951068.570106413
2019-02-06,13934623.96457677
2019-02-07,13988867.031316172
2019-02-08,14139468.335269533
2019-02-09,14169269.483452074
2019-02-10,14193680.462853566
2019-02-11,14238394.037670447
2019-02-12,14231619.032506408
2019-02-13,14198400.632816428
2019-02-14,14189236.64732582
2019-02-15,14184859.937519733
2019-02-16,14166231.4051863
2019-02-17,14208678.457323693
2019-02-18,14305245.362808239
2019-02-19,14373520.741371363
2019-02-20,14412825.451267436
2019-02-21,14438685.845382322
2019-02-22,14484456.384432806
2019-02-23,14459276.232015632
2019-02-24,14482147.885605047
2019-02-25,14489280.948164966
2019-02-26,14402646.487710007
2019-02-27,14329602.270493854
2019-02-28,14311035.345545363
2019-03-01,14306943.682040771
2019-03-02,14221546.264381127
2019-03-03,14249010.133950856
2019-03-04,14237897.951858573
2019-03-05,14217931.176879428
2019-03-06,14120610.30625048
2019-03-07,13887871.053996824
