Date,supply/active_1w_1m
2016-09-22,5177314.62770879
2016-09-23,5388919.4176268
2016-09-24,5251428.65380764
2016-09-25,4948980.03720404
2016-09-26,4859558.09390775
2016-09-27,4906685.34409049
2016-09-28,5168599.27333819
2016-09-29,5637459.041039
2016-09-30,5599215.90677873
2016-10-01,5680814.19066337
2016-10-02,5644519.14778248
2016-10-03,5620471.52751862
2016-10-04,5812071.87424828
2016-10-05,6585701.94451785
2016-10-06,7447725.33422565
2016-10-07,7204543.27044308
2016-10-08,7168636.96599788
2016-10-09,7576167.79447402
2016-10-10,7606487.34397109
2016-10-11,7177701.80821387
2016-10-12,7252966.02038932
2016-10-13,7633914.64616971
2016-10-14,7684877.07813977
2016-10-15,7321597.55361581
2016-10-16,6916450.59191237
2016-10-17,6976306.69919717
2016-10-18,7206557.14230596
2016-10-19,8060274.97151906
2016-10-20,7965133.30793893
2016-10-21,9365274.31760744
2016-10-22,9266313.80645203
2016-10-23,8682150.32204304
2016-10-24,8246480.070188
2016-10-25,8044112.97519337
2016-10-26,8279744.77758372
2016-10-27,8147989.17503792
2016-10-28,7393868.03271502
2016-10-29,6854321.95313064
2016-10-30,6743763.94298628
2016-10-31,6635424.02544898
2016-11-01,5694039.20173063
2016-11-02,5704395.63395777
2016-11-03,5684897.00385358
2016-11-04,5782826.89607723
2016-11-05,5626457.22404009
2016-11-06,6853629.8495402
2016-11-07,6857956.37846925
2016-11-08,7076328.26953876
2016-11-09,6965615.47745053
2016-11-10,6704985.48533903
2016-11-11,5986335.28211611
2016-11-12,5888335.65941477
2016-11-13,3947449.63320625
2016-11-14,3931155.91068523
2016-11-15,3922629.41510649
2016-11-16,3792275.89613728
2016-11-17,2967091.24744859
2016-11-18,4328059.18688664
2016-11-19,4338071.63011085
2016-11-20,4083081.33963718
2016-11-21,4158310.36764516
2016-11-22,3807185.13041831
2016-11-23,3982107.69528224
2016-11-24,4319182.38658707
2016-11-25,4544290.72245699
2016-11-26,4717294.38841487
2016-11-27,4643636.92927985
2016-11-28,4700344.69389511
2016-11-29,4654928.04750084
2016-11-30,4620153.52771228
2016-12-01,4715602.64082577
2016-12-02,4768186.92496893
2016-12-03,4410138.2004832
2016-12-04,4233163.60636592
2016-12-05,4313407.95447955
2016-12-06,4177827.95155117
2016-12-07,4109703.76537795
2016-12-08,4443578.68958132
2016-12-09,4801572.61078782
2016-12-10,5145899.11161508
2016-12-11,4243129.42508585
2016-12-12,4736191.98239644
2016-12-13,4739713.48763477
2016-12-14,4934904.77138005
2016-12-15,5260273.91184344
2016-12-16,5154793.66094933
2016-12-17,4847970.60557012
2016-12-18,4776717.88350897
2016-12-19,4716332.18625893
2016-12-20,4546962.2317243
2016-12-21,4139288.52947228
2016-12-22,4119068.08695364
2016-12-23,3766389.1166964
2016-12-24,4109802.17976515
2016-12-25,5601693.10848139
2016-12-26,5382340.70694065
2016-12-27,5340449.99380093
2016-12-28,5192981.01663843
2016-12-29,4562841.73169653
2016-12-30,4785440.1014615
2016-12-31,4621718.07546961
2017-01-01,4485075.1615928
2017-01-02,4299288.53656839
2017-01-03,4540015.97045611
2017-01-04,4095841.51357541
2017-01-05,3978926.36264749
2017-01-06,4199110.17187394
2017-01-07,3407621.42822561
2017-01-08,4147279.58230429
2017-01-09,3925660.25755261
