Date,supply/active_24h
2017-08-24,807230.327673126
2017-08-25,729914.114400173
2017-08-26,399392.514281281
2017-08-27,661149.717789357
2017-08-28,746629.00822787
2017-08-29,1066742.09979114
2017-08-30,762652.902681595
2017-08-31,1047932.42759448
2017-09-01,619952.606172046
2017-09-02,709738.107606396
2017-09-03,611182.138892914
2017-09-04,1185815.81323544
2017-09-05,1054249.23458545
2017-09-06,1245640.32507185
2017-09-07,845645.585620922
2017-09-08,815339.767272194
2017-09-09,1265641.73612274
2017-09-10,595699.081913343
2017-09-11,756756.123989617
2017-09-12,762699.846566402
2017-09-13,620099.364983517
2017-09-14,663059.785014091
2017-09-15,979501.63825442
2017-09-16,635294.324699659
2017-09-17,609351.300710613
2017-09-18,565908.014100353
2017-09-19,600616.977761694
2017-09-20,470653.257286604
2017-09-21,513093.632927804
2017-09-22,442019.127949272
2017-09-23,379785.59211269
2017-09-24,315079.494845674
2017-09-25,320012.749728745
2017-09-26,389351.120917334
2017-09-27,769468.246977508
2017-09-28,447901.256813252
2017-09-29,269014.309773649
2017-09-30,282334.647294465
2017-10-01,508732.202810721
2017-10-02,766245.288676675
2017-10-03,644118.609600883
2017-10-04,456729.336905617
2017-10-05,455090.165057671
2017-10-06,445265.787994551
2017-10-07,299027.667648531
2017-10-08,435256.964135939
2017-10-09,475380.296263753
2017-10-10,429031.934507765
2017-10-11,433118.77473022
2017-10-12,426526.545211063
2017-10-13,616341.130755155
2017-10-14,330425.080272219
2017-10-15,316409.231635772
2017-10-16,321753.83431747
2017-10-17,453461.226373432
2017-10-18,438754.521261388
2017-10-19,436059.781865922
2017-10-20,385908.303094812
2017-10-21,287432.774510899
2017-10-22,302570.886507913
2017-10-23,495119.410108404
2017-10-24,584604.824668073
2017-10-25,458663.904909781
2017-10-26,289813.028820386
2017-10-27,334572.086107248
2017-10-28,350126.700060937
2017-10-29,343811.899809288
2017-10-30,288986.66472257
2017-10-31,337898.610245463
2017-11-01,366820.184047441
2017-11-02,391292.726652271
2017-11-03,345283.254479887
2017-11-04,295216.54008094
2017-11-05,255807.484453661
2017-11-06,353924.798375139
2017-11-07,390218.577407729
2017-11-08,318235.825158417
2017-11-09,510175.029604521
2017-11-10,522131.267082163
2017-11-11,397047.5381183
2017-11-12,584929.78272822
2017-11-13,550250.328022533
2017-11-14,680219.473045724
2017-11-15,559292.912599271
2017-11-16,626580.848897972
2017-11-17,664828.156484274
2017-11-18,381517.840983972
