Date,addresses/non_zero_count
2017-01-12,464060.0
2017-01-13,465167.0
2017-01-14,466479.0
2017-01-15,467877.0
2017-01-16,469423.0
2017-01-17,470955.0
2017-01-18,472412.0
2017-01-19,473878.0
2017-01-20,475285.0
2017-01-21,476738.0
2017-01-22,478521.0
2017-01-23,479987.0
2017-01-24,481388.0
2017-01-25,482899.0
2017-01-26,484404.0
2017-01-27,485705.0
2017-01-28,486929.0
2017-01-29,488153.0
2017-01-30,489286.0
2017-01-31,489999.0
2017-02-01,490858.0
2017-02-02,491739.0
2017-02-03,492559.0
2017-02-04,493500.0
2017-02-05,494282.0
2017-02-06,495140.0
2017-02-07,496046.0
2017-02-08,497094.0
2017-02-09,497982.0
2017-02-10,498958.0
2017-02-11,499704.0
2017-02-12,500673.0
2017-02-13,501710.0
2017-02-14,502886.0
2017-02-15,504126.0
2017-02-16,505057.0
2017-02-17,505541.0
2017-02-18,506573.0
2017-02-19,507393.0
2017-02-20,508767.0
2017-02-21,509715.0
2017-02-22,510635.0
2017-02-23,511660.0
2017-02-24,512779.0
2017-02-25,513815.0
2017-02-26,515191.0
2017-02-27,517016.0
2017-02-28,519191.0
2017-03-01,521616.0
2017-03-02,524482.0
2017-03-03,527583.0
2017-03-04,529877.0
2017-03-05,531669.0
2017-03-06,533649.0
2017-03-07,535759.0
2017-03-08,537993.0
2017-03-09,540454.0
2017-03-10,542564.0
2017-03-11,545223.0
2017-03-12,547955.0
2017-03-13,552802.0
2017-03-14,556837.0
2017-03-15,561607.0
2017-03-16,569471.0
2017-03-17,578659.0
2017-03-18,585678.0
2017-03-19,590421.0
2017-03-20,595661.0
2017-03-21,601513.0
2017-03-22,605899.0
2017-03-23,609958.0
2017-03-24,615344.0
2017-03-25,620457.0
2017-03-26,624873.0
2017-03-27,630246.0
2017-03-28,635512.0
2017-03-29,640319.0
2017-03-30,646612.0
2017-03-31,652661.0
2017-04-01,657068.0
2017-04-02,662692.0
2017-04-03,669524.0
2017-04-04,675051.0
2017-04-05,680501.0
2017-04-06,686200.0
2017-04-07,690750.0
2017-04-08,694233.0
2017-04-09,697509.0
2017-04-10,701151.0
2017-04-11,704153.0
2017-04-12,708377.0
2017-04-13,712831.0
2017-04-14,716732.0
2017-04-15,720302.0
2017-04-16,723249.0
2017-04-17,726662.0
2017-04-18,730984.0
2017-04-19,735927.0
2017-04-20,740355.0
2017-04-21,743313.0
2017-04-22,747058.0
2017-04-23,750837.0
2017-04-24,756297.0
2017-04-25,760846.0
2017-04-26,771675.0
2017-04-27,777585.0
2017-04-28,784360.0
2017-04-29,790587.0
2017-04-30,797243.0
2017-05-01,805324.0
2017-05-02,811885.0
2017-05-03,818274.0
2017-05-04,826754.0
2017-05-05,833815.0
2017-05-06,840933.0
2017-05-07,849119.0
2017-05-08,858091.0
2017-05-09,866861.0
2017-05-10,875838.0
2017-05-11,884308.0
2017-05-12,889921.0
2017-05-13,895876.0
2017-05-14,902169.0
2017-05-15,909878.0
2017-05-16,918143.0
2017-05-17,928514.0
2017-05-18,937401.0
2017-05-19,949705.0
2017-05-20,959774.0
2017-05-21,970927.0
2017-05-22,985924.0
2017-05-23,1007497.0
2017-05-24,1023308.0
2017-05-25,1040459.0
2017-05-26,1053480.0
2017-05-27,1064557.0
2017-05-28,1075023.0
2017-05-29,1088004.0
2017-05-30,1104606.0
2017-05-31,1128009.0
2017-06-01,1141216.0
2017-06-02,1156605.0
2017-06-03,1171958.0
2017-06-04,1184139.0
2017-06-05,1201244.0
2017-06-06,1219345.0
2017-06-07,1237970.0
2017-06-08,1254782.0
2017-06-09,1273215.0
2017-06-10,1294055.0
2017-06-11,1318853.0
2017-06-12,1346653.0
2017-06-13,1376287.0
2017-06-14,1402651.0
2017-06-15,1427608.0
2017-06-16,1447768.0
2017-06-17,1468165.0
2017-06-18,1489122.0
2017-06-19,1517603.0
2017-06-20,1553003.0
2017-06-21,1569875.0
2017-06-22,1596268.0
2017-06-23,1623235.0
2017-06-24,1650563.0
2017-06-25,1674052.0
2017-06-26,1699425.0
2017-06-27,1720993.0
2017-06-28,1745027.0
2017-06-29,1768841.0
2017-06-30,1788261.0
2017-07-01,1803771.0
2017-07-02,1819539.0
2017-07-03,1846621.0
2017-07-04,1873816.0
2017-07-05,1894354.0
2017-07-06,1913379.0
2017-07-07,1927170.0
2017-07-08,1942496.0
2017-07-09,1957023.0
2017-07-10,1974353.0
2017-07-11,1996175.0
2017-07-12,2016334.0
2017-07-13,2035861.0
2017-07-14,2050967.0
2017-07-15,2064131.0
2017-07-16,2078896.0
2017-07-17,2094514.0
2017-07-18,2111834.0
2017-07-19,2130149.0
2017-07-20,2147528.0
2017-07-21,2163134.0
2017-07-22,2175876.0
2017-07-23,2182280.0
2017-07-24,2199711.0
2017-07-25,2216117.0
2017-07-26,2230949.0
2017-07-27,2244405.0
2017-07-28,2255851.0
2017-07-29,2267112.0
2017-07-30,2291116.0
2017-07-31,2302886.0
2017-08-01,2315195.0
2017-08-02,2329851.0
2017-08-03,2344341.0
2017-08-04,2363399.0
2017-08-05,2380402.0
2017-08-06,2394387.0
2017-08-07,2414643.0
2017-08-08,2439226.0
2017-08-09,2456512.0
2017-08-10,2484534.0
2017-08-11,2512778.0
2017-08-12,2529992.0
2017-08-13,2552647.0
2017-08-14,2581518.0
2017-08-15,2606628.0
2017-08-16,2633082.0
2017-08-17,2663021.0
2017-08-18,2694501.0
2017-08-19,2717066.0
2017-08-20,2735358.0
2017-08-21,2757974.0
2017-08-22,2789331.0
2017-08-23,2813446.0
2017-08-24,2841193.0
2017-08-25,2870010.0
2017-08-26,2892493.0
2017-08-27,2916063.0
2017-08-28,2941576.0
2017-08-29,2970397.0
2017-08-30,3003761.0
2017-08-31,3031571.0
2017-09-01,3060796.0
2017-09-02,3082349.0
2017-09-03,3103089.0
2017-09-04,3122716.0
2017-09-05,3147471.0
2017-09-06,3183207.0
2017-09-07,3212503.0
2017-09-08,3239191.0
2017-09-09,3269709.0
2017-09-10,3290859.0
2017-09-11,3313958.0
2017-09-12,3342490.0
2017-09-13,3358994.0
2017-09-14,3369041.0
2017-09-15,3402587.0
2017-09-16,3421990.0
2017-09-17,3441659.0
2017-09-18,3468031.0
2017-09-19,3499932.0
2017-09-20,3520223.0
2017-09-21,3541161.0
2017-09-22,3558023.0
2017-09-23,3575281.0
2017-09-24,3591109.0
2017-09-25,3606827.0
2017-09-26,3625544.0
2017-09-27,3645110.0
2017-09-28,3664252.0
2017-09-29,3664118.0
2017-09-30,3678387.0
2017-10-01,3695390.0
2017-10-02,3718030.0
2017-10-03,3738900.0
2017-10-04,3758059.0
2017-10-05,3776495.0
2017-10-06,3796483.0
2017-10-07,3813268.0
2017-10-08,3832183.0
2017-10-09,3853378.0
2017-10-10,3880572.0
2017-10-11,3898204.0
2017-10-12,3917063.0
2017-10-13,3943172.0
2017-10-14,3964064.0
2017-10-15,3983264.0
2017-10-16,4004829.0
2017-10-17,4029149.0
2017-10-18,4042563.0
2017-10-19,4067250.0
2017-10-20,4088924.0
2017-10-21,4117388.0
2017-10-22,4125799.0
2017-10-23,4145714.0
2017-10-24,4168676.0
2017-10-25,4191092.0
2017-10-26,4215286.0
2017-10-27,4238751.0
2017-10-28,4259093.0
2017-10-29,4280682.0
2017-10-30,4306804.0
2017-10-31,4337282.0
2017-11-01,4366822.0
2017-11-02,4407707.0
2017-11-03,4440873.0
2017-11-04,4462848.0
2017-11-05,4484648.0
2017-11-06,4515747.0
2017-11-07,4538294.0
2017-11-08,4567764.0
2017-11-09,4600302.0
2017-11-10,4630895.0
2017-11-11,4655702.0
2017-11-12,4689077.0
2017-11-13,4720883.0
2017-11-14,4755827.0
2017-11-15,4800005.0
2017-11-16,4836302.0
2017-11-17,4868531.0
2017-11-18,4900061.0
2017-11-19,4927229.0
2017-11-20,4964908.0
2017-11-21,5000788.0
2017-11-22,5041424.0
2017-11-23,5079288.0
2017-11-24,5119145.0
2017-11-25,5156069.0
2017-11-26,5197172.0
2017-11-27,5250955.0
2017-11-28,5306084.0
2017-11-29,5368380.0
2017-11-30,5419978.0
2017-12-01,5469744.0
2017-12-02,5512148.0
2017-12-03,5563370.0
2017-12-04,5618487.0
2017-12-05,5672081.0
2017-12-06,5757132.0
2017-12-07,5817353.0
2017-12-08,5882312.0
2017-12-09,5938861.0
2017-12-10,5982785.0
2017-12-11,6031317.0
2017-12-12,6091574.0
2017-12-13,6164462.0
2017-12-14,6238572.0
2017-12-15,6311284.0
2017-12-16,6370062.0
2017-12-17,6434574.0
2017-12-18,6514307.0
2017-12-19,6605173.0
2017-12-20,6680788.0
2017-12-21,6772670.0
2017-12-22,6852967.0
2017-12-23,6919094.0
2017-12-24,6975868.0
2017-12-25,7030654.0
2017-12-26,7069672.0
2017-12-27,7149662.0
2017-12-28,7228662.0
2017-12-29,7319731.0
2017-12-30,7407774.0
2017-12-31,7462448.0
2018-01-01,7502483.0
2018-01-02,7574660.0
