Date,indicators/nvts
2017-06-05,18.907669041984114
2017-06-06,18.904877853723768
2017-06-07,18.467638011711074
2017-06-08,17.580223689027743
2017-06-09,17.741393343964308
2017-06-10,19.327827601134626
2017-06-11,21.34903937215723
2017-06-12,21.537939435619904
2017-06-13,21.370193128596814
2017-06-14,20.332887266938293
2017-06-15,16.66514274855886
2017-06-16,17.48619498419595
2017-06-17,17.767811849093718
2017-06-18,17.726756908006777
2017-06-19,17.06223898164947
2017-06-20,16.772169598487373
2017-06-21,15.131330713959775
2017-06-22,14.757638551513653
2017-06-23,14.76160008915291
2017-06-24,14.300277877730386
2017-06-25,13.121315363500262
2017-06-26,11.316835519064892
2017-06-27,10.597992389173774
2017-06-28,12.508170654608618
2017-06-29,13.014339190685867
2017-06-30,12.203511773880447
2017-07-01,11.180328948065084
2017-07-02,11.15087169509111
2017-07-03,11.16984655312508
2017-07-04,10.83729510884856
2017-07-05,10.315989756720723
2017-07-06,10.285403125501611
2017-07-07,9.733480702921144
2017-07-08,9.151730521754994
2017-07-09,9.273180451236126
2017-07-10,8.499345766696964
2017-07-11,7.293209018723582
2017-07-12,7.5055994585129095
2017-07-13,7.582643163907445
2017-07-14,6.991004597865271
2017-07-15,6.414881359393056
2017-07-16,5.32196136043473
2017-07-17,5.7766821919067475
2017-07-18,6.67808935017843
2017-07-19,7.219083457583744
2017-07-20,7.02412860945496
2017-07-21,7.112995004304025
2017-07-22,7.0906578118910835
2017-07-23,7.192266289814895
2017-07-24,7.021713826359931
2017-07-25,6.417261711381424
2017-07-26,6.021901728608804
2017-07-27,6.018819677657444
2017-07-28,5.794490379481797
2017-07-29,5.460984095586238
2017-07-30,5.774018025947482
2017-07-31,5.689067896960505
2017-08-01,6.28699753763451
2017-08-02,6.426456392865694
2017-08-03,6.473250455891799
2017-08-04,6.476474228557449
2017-08-05,6.886872333828598
2017-08-06,7.52268168969086
2017-08-07,7.678992079538834
2017-08-08,8.086947334138626
2017-08-09,8.554745083611339
2017-08-10,8.465795141049295
2017-08-11,8.10425137227638
2017-08-12,8.237877837947947
2017-08-13,7.603966952788874
2017-08-14,7.585866955144525
2017-08-15,7.204124598661398
2017-08-16,7.272455748296813
2017-08-17,7.465995321329837
2017-08-18,7.2892869485878125
2017-08-19,7.095017458827474
2017-08-20,7.130866460277912
2017-08-21,7.720174692923906
2017-08-22,7.5346787773214965
2017-08-23,7.69627111306991
2017-08-24,7.7332345284659025
2017-08-25,7.947390428427775
2017-08-26,7.948226871322291
2017-08-27,7.967300354914604
2017-08-28,7.975090187360079
2017-08-29,8.321568821690244
2017-08-30,8.530972323000473
2017-08-31,8.599642814374873
2017-09-01,8.702589120509789
2017-09-02,7.976144945544905
2017-09-03,7.791623517521029
2017-09-04,6.959143539243771
2017-09-05,6.6857108283190545
2017-09-06,7.308710168695904
2017-09-07,7.318447882800036
