Date,supply/profit_sum
2017-02-19,71003974.941089
2017-02-20,69378959.161948
2017-02-21,72018394.138197
2017-02-22,69759294.665842
2017-02-23,74687691.326305
2017-02-24,74708609.065992
2017-02-25,77921186.147464
2017-02-26,78578895.550193
2017-02-27,78579842.700555
2017-02-28,78418210.11034
2017-03-01,78419023.890937
2017-03-02,77685772.789929
2017-03-03,77448781.814119
2017-03-04,76753319.097022
2017-03-05,77132534.69104
2017-03-06,77579631.964632
2017-03-07,76118833.555668
2017-03-08,73746100.155334
2017-03-09,74960354.866913
2017-03-10,76668451.25044
2017-03-11,77857855.966894
2017-03-12,77945341.494532
2017-03-13,77490939.533637
2017-03-14,77539053.193733
2017-03-15,77916646.449499
2017-03-16,77994309.528198
2017-03-17,77437330.677896
2017-03-18,74139323.809101
2017-03-19,77206595.131339
2017-03-20,76241910.016545
2017-03-21,76207474.383487
2017-03-22,75884374.530875
2017-03-23,77239282.341308
2017-03-24,78260892.137452
2017-03-25,78178396.645648
2017-03-26,77490602.67495
2017-03-27,76584980.556138
2017-03-28,77300731.176375
2017-03-29,78317479.231252
2017-03-30,77862493.547274
2017-03-31,74756838.171811
2017-04-01,77384707.151063
2017-04-02,74188556.147114
2017-04-03,71808180.862456
2017-04-04,72621629.313975
2017-04-05,72649448.310263
2017-04-06,71126947.46992
2017-04-07,69686389.700433
2017-04-08,72406541.8611
2017-04-09,71366912.573225
2017-04-10,71594218.353417
2017-04-11,71105295.703439
2017-04-12,75257915.885934
2017-04-13,77859106.016633
2017-04-14,75779057.091392
2017-04-15,76628628.395093
2017-04-16,76340778.369084
2017-04-17,76302060.632689
2017-04-18,78114442.925727
2017-04-19,74737873.548279
2017-04-20,77359909.135447
2017-04-21,75805984.036772
2017-04-22,75870162.239714
2017-04-23,76187924.661324
2017-04-24,78154601.621948
2017-04-25,78069202.698267
2017-04-26,79151795.988188
2017-04-27,79529082.157928
2017-04-28,79446436.564651
2017-04-29,78911531.341713
2017-04-30,79486977.804144
2017-05-01,78597012.628235
2017-05-02,78485047.833206
2017-05-03,78845497.760189
2017-05-04,79166811.553384
2017-05-05,78708660.52103
2017-05-06,79163396.321695
2017-05-07,77797268.59138
2017-05-08,77176249.752727
2017-05-09,77146786.004906
2017-05-10,77303652.498172
2017-05-11,76807505.444732
2017-05-12,75446214.129744
2017-05-13,76778637.97987
2017-05-14,77116756.545176
2017-05-15,77805072.557156
2017-05-16,75335035.4169
2017-05-17,74735104.633686
2017-05-18,79694358.997403
2017-05-19,79734688.695217
2017-05-20,79571876.962182
2017-05-21,79947396.832007
2017-05-22,79779169.350781
2017-05-23,79862686.416403
2017-05-24,80088275.423086
2017-05-25,78798260.930264
2017-05-26,77790223.705047
2017-05-27,77637193.70683
2017-05-28,78943641.825372
2017-05-29,80515211.038778
2017-05-30,80833891.933473
2017-05-31,80724535.294811
2017-06-01,79378926.016732
2017-06-02,79880355.254938
2017-06-03,80170186.437135
2017-06-04,80467947.398155
2017-06-05,80921960.435738
2017-06-06,81085683.041567
2017-06-07,80235291.16456
2017-06-08,80634434.875891
2017-06-09,81222528.993724
2017-06-10,81065358.648818
2017-06-11,80908961.782004
2017-06-12,80985979.695936
2017-06-13,81281491.032455
2017-06-14,78377878.402729
2017-06-15,79031124.671239
2017-06-16,79517995.677225
2017-06-17,80470134.398208
2017-06-18,79129262.653768
2017-06-19,79928909.233692
2017-06-20,77682125.381765
2017-06-21,76117689.520446
2017-06-22,75969295.14547
2017-06-23,77123273.033491
2017-06-24,72916794.763683
2017-06-25,71603363.454794
2017-06-26,69884487.686247
2017-06-27,73368765.96972
2017-06-28,77089886.598064
2017-06-29,71959267.225245
2017-06-30,70581726.623801
2017-07-01,68031222.604091
2017-07-02,71415618.483148
2017-07-03,69894010.293042
2017-07-04,68294170.78991
2017-07-05,68329290.286685
2017-07-06,68352752.234479
2017-07-07,65497348.484056
2017-07-08,65936742.996478
2017-07-09,65116028.218685
2017-07-10,63867357.739009
2017-07-11,63215386.157543
2017-07-12,65806877.565507
2017-07-13,63778174.762915
2017-07-14,63018772.818695
2017-07-15,60633740.040547
2017-07-16,60155939.627222
2017-07-17,64064170.546906
2017-07-18,67413921.007803
2017-07-19,62974061.813409
2017-07-20,68440258.29719
2017-07-21,66349143.085504
2017-07-22,68694489.687804
2017-07-23,68278438.241558
2017-07-24,67366684.470785
2017-07-25,63401809.60859
2017-07-26,63406711.828197
2017-07-27,63641330.03708
2017-07-28,61339256.564531
2017-07-29,65882748.23172
2017-07-30,63084718.46839
2017-07-31,64552373.077248
2017-08-01,69096968.173067
2017-08-02,67540034.798912
2017-08-03,68393554.409555
2017-08-04,67166436.120275
2017-08-05,73457122.894586
2017-08-06,74444268.460108
2017-08-07,75693722.356389
2017-08-08,77319502.042686
2017-08-09,76960588.249692
2017-08-10,77959131.235351
2017-08-11,79146833.014766
2017-08-12,78714599.276997
2017-08-13,75844488.801504
2017-08-14,77362004.192228
2017-08-15,74123015.13784
2017-08-16,78149297.847595
2017-08-17,77839497.087964
2017-08-18,73719034.015539
2017-08-19,74052053.420298
2017-08-20,75897413.021247
2017-08-21,79400340.431207
2017-08-22,78897210.932529
2017-08-23,79054883.119196
2017-08-24,80165218.888071
2017-08-25,80186849.620393
2017-08-26,80034081.324209
2017-08-27,80670572.48032
2017-08-28,80858727.323481
2017-08-29,81317731.955821
2017-08-30,81401827.416433
2017-08-31,81673317.550811
2017-09-01,81579223.654445
2017-09-02,77503459.284979
2017-09-03,77537647.916721
2017-09-04,69879115.774395
2017-09-05,73738324.868877
2017-09-06,78476893.311592
2017-09-07,77383467.134603
2017-09-08,70132873.277727
2017-09-09,69571463.337228
2017-09-10,69369506.477182
2017-09-11,69441259.702085
2017-09-12,66693214.151685
2017-09-13,64669912.841229
2017-09-14,58442844.655873
2017-09-15,62780844.584269
2017-09-16,61982818.983555
2017-09-17,63206981.618379
2017-09-18,73341943.249755
2017-09-19,67346947.61396
2017-09-20,67370454.4378
2017-09-21,61840544.401791
2017-09-22,62847393.369936
2017-09-23,68878154.052062
2017-09-24,67946988.60402
2017-09-25,72069865.776542
2017-09-26,69083654.034199
2017-09-27,76531235.134895
2017-09-28,75039548.922071
2017-09-29,70895226.248622
2017-09-30,74836742.917935
2017-10-01,75230160.621692
2017-10-02,71095637.907649
2017-10-03,68970691.583026
2017-10-04,68753041.006979
2017-10-05,70246627.301154
2017-10-06,75825455.520782
2017-10-07,77150550.655737
2017-10-08,76118363.599943
2017-10-09,70439940.134092
2017-10-10,72956430.809113
2017-10-11,74965611.590245
2017-10-12,74619762.790605
2017-10-13,79823550.552231
2017-10-14,79813211.340513
2017-10-15,79586565.78046
2017-10-16,78876105.634831
2017-10-17,76068019.186427
2017-10-18,75872102.494976
2017-10-19,73866178.609643
2017-10-20,72240125.92729
2017-10-21,69289573.063697
2017-10-22,65064518.140987
2017-10-23,62462792.375115
2017-10-24,66824262.915087
2017-10-25,67423807.867402
2017-10-26,66598107.248337
2017-10-27,66986195.015711
2017-10-28,65435633.985769
2017-10-29,73809137.622869
2017-10-30,75111956.063973
2017-10-31,73359990.9209
2017-11-01,62665942.72956
2017-11-02,61376652.295793
2017-11-03,74969493.368352
2017-11-04,71658934.462598
2017-11-05,66440318.073315
2017-11-06,68039393.913
2017-11-07,63452840.946849
2017-11-08,76490933.667461
2017-11-09,78383087.627106
2017-11-10,67395776.425089
2017-11-11,77472761.890667
2017-11-12,74735956.298696
2017-11-13,77973149.694005
2017-11-14,80654715.136693
2017-11-15,80002601.629995
2017-11-16,79826735.24949
2017-11-17,79858414.751036
2017-11-18,81530489.203413
2017-11-19,81672543.069629
2017-11-20,82191181.090571
2017-11-21,80846196.098978
2017-11-22,82467768.383875
2017-11-23,82822477.86669
