Date,indicators/cdd
2016-07-15,206663297.05268
2016-07-16,20143769.3965357
2016-07-17,22875320.6465957
2016-07-18,16659520.4674694
2016-07-19,708557035.387223
2016-07-20,401445485.50132
2016-07-21,30867242.2619484
2016-07-22,31250927.5081862
2016-07-23,23968198.8608306
2016-07-24,277451287.627028
2016-07-25,315674127.547103
2016-07-26,342346924.906432
2016-07-27,318739477.8323
2016-07-28,122834800.814429
2016-07-29,136000555.469239
2016-07-30,59919529.0671104
2016-07-31,90730478.117241
2016-08-01,234857965.285108
2016-08-02,99085753.4906842
2016-08-03,318831975.806557
2016-08-04,140550997.705576
2016-08-05,246050035.220116
2016-08-06,61882552.0515001
2016-08-07,68709621.505323
2016-08-08,64415875.5206678
2016-08-09,171185778.38743
2016-08-10,179978538.710418
2016-08-11,174728390.168564
2016-08-12,27876736.6396932
2016-08-13,49214080.3212183
2016-08-14,48365658.5067444
2016-08-15,21185997.9108633
2016-08-16,12235360.4012929
2016-08-17,37033179.3614263
2016-08-18,29528938.787059
2016-08-19,19104703.4602813
2016-08-20,14052576.712604
2016-08-21,29370070.0368394
2016-08-22,60036434.4226977
2016-08-23,25239158.9073582
2016-08-24,21972387.4587781
2016-08-25,27991908.2328477
2016-08-26,19325955.9104506
2016-08-27,8982761.93948676
2016-08-28,10391499.1536658
2016-08-29,44041375.6141241
2016-08-30,16865329.2221496
2016-08-31,17146012.6413242
2016-09-01,20698129.4567616
2016-09-02,24274426.6544124
2016-09-03,12708438.3698182
2016-09-04,21436355.0975551
2016-09-05,18106835.1456371
2016-09-06,22750378.6651744
2016-09-07,14513233.0273259
2016-09-08,44357609.3557834
2016-09-09,19293134.8580254
2016-09-10,7609014.76005859
2016-09-11,28467368.4130756
2016-09-12,38731127.7459045
2016-09-13,19699263.2797081
2016-09-14,26269090.0545862
2016-09-15,8065724.8783283
2016-09-16,95352083.5917771
2016-09-17,6422966.25470856
2016-09-18,12281061.0877811
2016-09-19,8821052.9744077
2016-09-20,27092725.9634682
2016-09-21,193847861.822986
2016-09-22,35183825.7145715
2016-09-23,14348193.0920377
2016-09-24,117678729.94983
2016-09-25,25202337.4192134
2016-09-26,17819055.9408291
2016-09-27,9549812.27529105
2016-09-28,437354880.925525
2016-09-29,140427188.392225
2016-09-30,46358216.074941
2016-10-01,23760745.8387343
2016-10-02,41757029.9842371
2016-10-03,10768943.8480308
2016-10-04,9891725.13355157
2016-10-05,18189750.1328722
2016-10-06,21528469.1127128
2016-10-07,15167728.7210575
2016-10-08,18311006.5049096
2016-10-09,14838508.3005077
2016-10-10,25262109.6392429
2016-10-11,90240825.637714
2016-10-12,71452202.6736215
2016-10-13,6312801.38173549
2016-10-14,184053676.065619
2016-10-15,7160509.51736923
2016-10-16,7436008.15975088
2016-10-17,21831142.8759383
2016-10-18,9029884.01634915
2016-10-19,9885576.3747104
2016-10-20,11304178.0168677
2016-10-21,24362003.7306148
2016-10-22,4577719.46435009
2016-10-23,6766131.53042086
2016-10-24,12952172.5100102
2016-10-25,17227317.4071383
2016-10-26,40879495.0304785
2016-10-27,12334833.430595
2016-10-28,81796942.1383343
2016-10-29,34770747.9167546
2016-10-30,128935990.553436
2016-10-31,18998409.9660095
2016-11-01,25854957.8530062
2016-11-02,35930155.0250785
2016-11-03,17464338.7375486
2016-11-04,11745761.9752013
2016-11-05,15603592.4147014
2016-11-06,7065074.72310001
2016-11-07,14398497.5712845
2016-11-08,9822575.0861448
2016-11-09,9057770.43768056
2016-11-10,9114939.93210836
2016-11-11,62960669.3574277
2016-11-12,19939657.8412115
2016-11-13,34698094.6239694
2016-11-14,5241191.13500063
2016-11-15,22729592.3527181
2016-11-16,14762419.8836083
2016-11-17,54811802.9217533
2016-11-18,15883369.3194747
2016-11-19,28677054.6313779
2016-11-20,41437551.7955124
2016-11-21,22451039.5044539
2016-11-22,32910026.6353883
2016-11-23,7443340.58455807
2016-11-24,30151051.8798173
2016-11-25,11222797.2128664
2016-11-26,29543286.8982746
2016-11-27,10576686.6036784
2016-11-28,33118802.7493289
2016-11-29,56659671.252667
2016-11-30,29917249.14647
2016-12-01,35447491.4344162
2016-12-02,46575891.7269386
2016-12-03,60331309.7848204
2016-12-04,22156856.1454869
2016-12-05,52839940.6997876
2016-12-06,86243743.0814797
2016-12-07,57060091.1559455
2016-12-08,72101357.5277183
2016-12-09,13428845.722554
2016-12-10,11598314.9827223
2016-12-11,39017963.5200499
2016-12-12,8291623.21041079
2016-12-13,28612477.0984891
2016-12-14,7949542.33344437
2016-12-15,13468286.2307735
2016-12-16,10459798.9187525
2016-12-17,42454142.0446938
2016-12-18,12231481.2905635
2016-12-19,32222119.1086646
2016-12-20,26053013.2853537
2016-12-21,35413816.6900899
2016-12-22,23131306.9166785
2016-12-23,135105573.185996
2016-12-24,5435420.99948614
2016-12-25,11741422.8505667
2016-12-26,16760538.5274406
2016-12-27,30203158.9413351
2016-12-28,31968598.2794484
2016-12-29,37738087.6549142
2016-12-30,38681412.9803091
2016-12-31,14815569.2979211
2017-01-01,65442218.1874961
2017-01-02,14796095.9014905
2017-01-03,23207797.227399
2017-01-04,83196551.8419735
2017-01-05,52881650.5706184
2017-01-06,85056208.8263088
2017-01-07,54960346.5557826
2017-01-08,8526363.19248036
2017-01-09,56802141.7837931
2017-01-10,32022990.1809203
2017-01-11,8136827.19680544
