Date,market/marketcap_realized_usd
2017-12-29,20437712531.0306
2017-12-30,20619067192.2688
2017-12-31,20756012554.7619
2018-01-01,21003142405.2909
2018-01-02,21261297010.1976
2018-01-03,21594124618.0387
2018-01-04,22059556183.5915
2018-01-05,22662731737.8665
2018-01-06,23073741736.7883
2018-01-07,23486851509.5874
2018-01-08,24141874741.5765
2018-01-09,24770246011.0353
2018-01-10,25686197418.0355
2018-01-11,26320204568.1405
2018-01-12,26760875831.2674
2018-01-13,27402512763.0321
2018-01-14,28069067434.3072
2018-01-15,28614536090.1042
2018-01-16,28992237344.4414
2018-01-17,28915053689.4985
2018-01-18,28852869590.2737
2018-01-19,29014742114.8443
2018-01-20,29200130496.303
2018-01-21,29393217682.9833
2018-01-22,29510445847.0672
2018-01-23,29630905896.451
2018-01-24,29836172443.5495
2018-01-25,30102469549.5526
2018-01-26,30248190771.4416
2018-01-27,30339612218.0629
2018-01-28,30547817408.016
2018-01-29,30879291494.5497
2018-01-30,31163604291.7241
2018-01-31,31348874683.7224
2018-02-01,31553775031.7244
2018-02-02,31536184768.5912
2018-02-03,31584068609.0118
2018-02-04,31597341541.3192
2018-02-05,31492177741.8404
2018-02-06,31209797055.4625
2018-02-07,31325974206.0961
2018-02-08,31378812862.4763
2018-02-09,31412470856.9588
2018-02-10,31483230239.5259
2018-02-11,31518538728.2512
2018-02-12,31607789514.686
2018-02-13,31758659275.6089
2018-02-14,31835234321.084
2018-02-15,31979016148.1423
2018-02-16,32062892590.9712
2018-02-17,32153326841.2742
2018-02-18,32352140583.1018
2018-02-19,32516170343.9418
2018-02-20,32702494515.475
2018-02-21,32755346952.0028
2018-02-22,33076334367.738
2018-02-23,34309255352.9673
2018-02-24,34324782317.1281
2018-02-25,34307182769.744
2018-02-26,34370100451.3635
2018-02-27,34427871831.5074
2018-02-28,34463654305.123
2018-03-01,34501105870.2297
2018-03-02,34556605203.0809
2018-03-03,34610031050.9135
2018-03-04,34639339990.8692
2018-03-05,34679644708.2712
2018-03-06,34721166095.5305
2018-03-07,34752578281.5707
2018-03-08,34737960010.0646
2018-03-09,34710165666.9013
2018-03-10,34685439225.2255
2018-03-11,34661461759.0807
2018-03-12,34655243755.782
2018-03-13,34621157702.7973
2018-03-14,34586959950.9497
2018-03-15,34519092087.2994
2018-03-16,34472258927.8015
2018-03-17,34432743815.1342
2018-03-18,34325498963.5192
2018-03-19,34201862468.1158
2018-03-20,34150715903.2038
