Date,mining/thermocap
2017-07-02,588556091.4727273
2017-07-03,596112411.7651752
2017-07-04,603682276.4023454
2017-07-05,610762310.2611475
2017-07-06,617929105.8269895
2017-07-07,624864146.9525267
2017-07-08,631373545.1183958
2017-07-09,637952107.7090545
2017-07-10,643468847.1829314
2017-07-11,648156310.0337126
2017-07-12,653021829.5497804
2017-07-13,657993382.1203012
2017-07-14,662669430.8156918
2017-07-15,667108671.3326156
2017-07-16,670827952.8326916
2017-07-17,674837841.6708838
2017-07-18,679650495.6181494
2017-07-19,685063833.6685455
2017-07-20,690415847.0844548
2017-07-21,695778701.7772716
2017-07-22,701241666.3828282
2017-07-23,706845927.2060118
2017-07-24,712308342.6468961
2017-07-25,717511552.9359488
2017-07-26,722408014.2758838
2017-07-27,727326639.6052653
2017-07-28,732189528.645619
2017-07-29,736782835.9373726
2017-07-30,741697572.8343452
2017-07-31,746411982.4250841
2017-08-01,751053530.7609012
2017-08-02,755735376.5596209
2017-08-03,760402652.5610749
2017-08-04,765151900.3246989
2017-08-05,770178788.6863765
2017-08-06,775696895.2545189
2017-08-07,781440804.9238483
2017-08-08,787521592.350413
2017-08-09,794007594.2686422
2017-08-10,800464320.8575702
2017-08-11,807037381.8911933
2017-08-12,813882931.5487996
2017-08-13,820382131.6585045
2017-08-14,826968454.2663864
2017-08-15,833355361.5324541
2017-08-16,839972965.6401582
2017-08-17,846810914.3808819
2017-08-18,853485553.7398033
2017-08-19,860087150.0980368
2017-08-20,866570209.8366305
2017-08-21,873808237.4508861
2017-08-22,880812680.7046025
2017-08-23,888021383.1446025
2017-08-24,895253080.3557321
2017-08-25,901489379.0572187
2017-08-26,907639743.9525312
2017-08-27,913911197.6609709
2017-08-28,920240075.5525236
2017-08-29,927124622.4485165
2017-08-30,934317385.1425996
2017-08-31,941548809.1042337
2017-09-01,948943692.0040731
2017-09-02,955754926.7623501
2017-09-03,962326144.7778524
2017-09-04,968279117.6889852
2017-09-05,974051466.7573272
2017-09-06,980311022.0454295
2017-09-07,986649007.4683082
2017-09-08,992819076.7353438
2017-09-09,998594901.3988627
2017-09-10,1004194246.6370138
2017-09-11,1009792368.1955261
2017-09-12,1015637305.5744324
2017-09-13,1020844735.6345822
2017-09-14,1025741416.2426052
2017-09-15,1030376028.8074371
2017-09-16,1035366317.8773372
2017-09-17,1040249572.999923
2017-09-18,1045745282.9282042
2017-09-19,1051303514.5286176
2017-09-20,1056784947.1263183
2017-09-21,1062113800.2786425
2017-09-22,1066235660.6242208
2017-09-23,1070356538.8924825
2017-09-24,1074756650.032858
2017-09-25,1079075568.9096158
2017-09-26,1083504285.8076496
2017-09-27,1088069160.6172493
2017-09-28,1092626690.555651
2017-09-29,1096958329.2493837
2017-09-30,1101426217.1315072
2017-10-01,1105953149.3571126
2017-10-02,1110462930.8089747
2017-10-03,1114904891.267638
2017-10-04,1119388112.7336557
2017-10-05,1123909994.9295292
2017-10-06,1128409093.591083
2017-10-07,1133034255.2350729
2017-10-08,1137762938.8646834
2017-10-09,1142345478.3497963
2017-10-10,1146971522.588186
2017-10-11,1151632105.645959
2017-10-12,1156322325.8226907
2017-10-13,1161349186.5478165
2017-10-14,1166573678.8031094
2017-10-15,1171743240.3876896
2017-10-16,1177231764.5583923
2017-10-17,1183758495.8236005
2017-10-18,1189968629.5396492
2017-10-19,1196283724.3956258
2017-10-20,1202555984.2440476
2017-10-21,1208556856.556849
2017-10-22,1214597636.349849
2017-10-23,1220446485.4370885
2017-10-24,1226674808.9044673
2017-10-25,1232658471.8972135
2017-10-26,1238654979.3724966
2017-10-27,1244722755.6376321
2017-10-28,1250753175.236851
2017-10-29,1256874452.3932319
2017-10-30,1263037678.6296966
2017-10-31,1269375272.8656614
2017-11-01,1275437910.0463293
2017-11-02,1281223865.554311
2017-11-03,1287223992.8254268
2017-11-04,1293297497.8223455
2017-11-05,1299432741.9962993
2017-11-06,1305460023.6799998
2017-11-07,1311500152.8345017
2017-11-08,1317591364.1976893
2017-11-09,1324049470.2647693
2017-11-10,1330432479.2086384
2017-11-11,1336689822.9588122
2017-11-12,1342930230.1377048
2017-11-13,1349340355.0966046
2017-11-14,1355900954.1226137
2017-11-15,1362742218.4352074
2017-11-16,1369384572.9220824
2017-11-17,1376126010.6931162
2017-11-18,1382923485.2742217
2017-11-19,1390168386.9334326
2017-11-20,1397540194.049044
2017-11-21,1404987865.8795438
2017-11-22,1412503461.3122509
2017-11-23,1420614583.1983056
2017-11-24,1429407831.2797666
2017-11-25,1438926135.9126897
2017-11-26,1448274971.9202092
2017-11-27,1457908910.0844228
2017-11-28,1467473828.2569463
2017-11-29,1477115295.752001
2017-11-30,1486026415.6882145
2017-12-01,1495075633.8289332
2017-12-02,1504418310.0561168
2017-12-03,1513939147.2388265
2017-12-04,1523378099.8322191
2017-12-05,1532919165.966606
2017-12-06,1542076491.2035694
2017-12-07,1550902713.805973
2017-12-08,1559877710.6284554
2017-12-09,1569798428.2838616
2017-12-10,1578982779.3061624
2017-12-11,1588528470.6192873
2017-12-12,1600149258.2416682
2017-12-13,1614061877.1670153
2017-12-14,1628850038.9838285
2017-12-15,1642790049.4163742
2017-12-16,1656992574.3752909
2017-12-17,1671626197.233731
2017-12-18,1686718259.9090402
2017-12-19,1703694077.767548
2017-12-20,1720069384.4979622
2017-12-21,1736564076.9358764
2017-12-22,1750423423.110607
2017-12-23,1765591756.003019
2017-12-24,1779302116.5239246
2017-12-25,1794172127.6665027
2017-12-26,1809381942.5316682
2017-12-27,1824712695.1678662
2017-12-28,1839098385.7206762
2017-12-29,1854126414.1465843
2017-12-30,1868842655.8110693
2017-12-31,1883482828.2056475
2018-01-01,1898756580.1178863
2018-01-02,1916063645.1542222
2018-01-03,1934262510.614102
2018-01-04,1954133243.2253988
2018-01-05,1974560303.3858154
2018-01-06,1995335600.3760595
2018-01-07,2017916818.5959253
2018-01-08,2041451121.2638354
2018-01-09,2066463138.8249903
2018-01-10,2094042370.7623496
2018-01-11,2119511570.2297325
2018-01-12,2145018844.2835996
2018-01-13,2172749656.771707
2018-01-14,2200836562.889066
2018-01-15,2227717606.083147
2018-01-16,2251214119.6190906
2018-01-17,2271011947.611127
2018-01-18,2292333915.2919536
2018-01-19,2313872016.011192
2018-01-20,2337052019.2462506
2018-01-21,2358867990.4858203
2018-01-22,2379779793.9115157
2018-01-23,2399767053.631492
2018-01-24,2420483157.2242403
2018-01-25,2442031959.273361
2018-01-26,2463243096.7733536
2018-01-27,2485149626.4276295
2018-01-28,2509223738.974895
2018-01-29,2533241731.1851244
2018-01-30,2556021227.188054
2018-01-31,2578197550.523744
2018-02-01,2600423801.4764132
2018-02-02,2619190184.552327
2018-02-03,2638249002.893333
2018-02-04,2656471455.142044
2018-02-05,2672294762.9271026
2018-02-06,2686071800.900032
2018-02-07,2702342658.078183
2018-02-08,2718851964.207435
2018-02-09,2735671239.5037374
2018-02-10,2753630724.4105964
2018-02-11,2770165266.591292
2018-02-12,2787663345.2017503
2018-02-13,2804903733.580206
2018-02-14,2822573397.3011003
2018-02-15,2841707820.5112934
2018-02-16,2860715562.381567
2018-02-17,2880554032.72327
2018-02-18,2899806303.588838
2018-02-19,2919063193.831471
2018-02-20,2938308183.9806576
2018-02-21,2956403150.3778687
2018-02-22,2973447331.528677
2018-02-23,2991020580.6985373
2018-02-24,3008363532.1546416
2018-02-25,3025355400.26782
2018-02-26,3042875283.706591
2018-02-27,3060846000.4477944
2018-02-28,3078823724.234669
2018-03-01,3096537043.4612145
2018-03-02,3114415708.6142898
2018-03-03,3132039053.630291
2018-03-04,3149325160.8111024
2018-03-05,3166862688.03193
2018-03-06,3183932866.4421387
2018-03-07,3200079853.382529
2018-03-08,3215122803.189889
2018-03-09,3229143967.394776
2018-03-10,3243989662.926965
2018-03-11,3258455518.520275
2018-03-12,3273050097.793147
2018-03-13,3287237990.8982215
2018-03-14,3300748503.496245
2018-03-15,3313113892.199737
2018-03-16,3325635531.5776653
2018-03-17,3337594740.3947983
2018-03-18,3347941848.4432464
2018-03-19,3358922733.7337356
2018-03-20,3370071900.439047
2018-03-21,3381656566.229645
2018-03-22,3392794224.3405957
2018-03-23,3403409918.414971
2018-03-24,3414450843.522608
2018-03-25,3425083837.5725827
2018-03-26,3435314254.456563
2018-03-27,3444733522.979665
2018-03-28,3453949660.4764943
2018-03-29,3462444690.3002777
2018-03-30,3470362166.0350213
2018-03-31,3478601160.9847803
2018-04-01,3486357283.0707803
2018-04-02,3494272441.778473
2018-04-03,3502483480.9318366
2018-04-04,3510454384.222239
2018-04-05,3518269303.194445
2018-04-06,3525881445.918424
2018-04-07,3533656936.2722907
2018-04-08,3541685167.3749933
