Date,supply/active_1d_1w
2017-08-24,5190998.51293105
2017-08-25,5311423.5146019
2017-08-26,5377869.96526037
2017-08-27,5147715.56736603
2017-08-28,3974057.04301847
2017-08-29,3867092.22655054
2017-08-30,4428292.31970566
2017-08-31,4197521.04708767
2017-09-01,4364563.82724513
2017-09-02,4464391.22436336
2017-09-03,4302104.65106427
2017-09-04,3991236.55084424
2017-09-05,3813438.57279234
2017-09-06,3877913.32414208
2017-09-07,3864108.78386111
2017-09-08,3962989.4402417
2017-09-09,3973625.59033502
2017-09-10,4633777.13209726
2017-09-11,4372078.08041172
2017-09-12,4257420.08584076
2017-09-13,4493030.95602322
2017-09-14,4432824.6657483
2017-09-15,4358598.40687915
2017-09-16,4578900.90572043
2017-09-17,5130784.82963049
2017-09-18,4491776.55601974
2017-09-19,3279642.15819923
2017-09-20,3302263.79139083
2017-09-21,3158171.17264514
2017-09-22,2986913.45057022
2017-09-23,2629208.85506969
2017-09-24,2544206.07819233
2017-09-25,2756494.84141385
2017-09-26,2756182.21926346
2017-09-27,2521335.97292351
2017-09-28,2827936.70308563
2017-09-29,2847308.27705569
2017-09-30,2462952.50081849
2017-10-01,2393964.96967688
2017-10-02,2963395.78026363
2017-10-03,3248839.45037845
2017-10-04,3035884.82096915
2017-10-05,2668531.79604009
2017-10-06,2755028.17783482
2017-10-07,2812115.1517916
2017-10-08,2565987.12431778
2017-10-09,1998816.409388
2017-10-10,2306755.15676117
2017-10-11,2236369.21584873
2017-10-12,2320041.95377096
2017-10-13,1883210.09650557
2017-10-14,2171282.97969077
2017-10-15,2380074.23539934
2017-10-16,2087646.39029374
2017-10-17,2165570.09395278
2017-10-18,2461662.67600253
2017-10-19,2487972.31735582
2017-10-20,2470364.97317462
2017-10-21,2328051.03551727
2017-10-22,2222830.65245642
2017-10-23,2101745.88954022
2017-10-24,2074726.84508464
2017-10-25,2308817.11472228
2017-10-26,2347243.1648156
2017-10-27,2221364.30064451
2017-10-28,2065496.9124991
2017-10-29,2119720.68896593
2017-10-30,2342708.70894458
2017-10-31,2203367.99564066
2017-11-01,2080688.36832355
2017-11-02,1952274.6107221
2017-11-03,1948202.16531769
2017-11-04,1776394.78184675
2017-11-05,1736207.91773181
2017-11-06,1862162.11468276
2017-11-07,1854114.66476048
2017-11-08,2175874.30878903
2017-11-09,2464060.16015414
2017-11-10,2656143.87728297
2017-11-11,2688879.2682187
2017-11-12,3240309.71179358
2017-11-13,3378400.45245618
