Date,mining/revenue_from_fees
2016-10-28,0.001153532
2016-10-29,0.001049418
2016-10-30,0.000956139
2016-10-31,0.001042433
2016-11-01,0.001348827
2016-11-02,0.000936682
2016-11-03,0.000950633
2016-11-04,0.000701282
2016-11-05,0.000782154
2016-11-06,0.000731622
2016-11-07,0.000872078
2016-11-08,0.000972486
2016-11-09,0.001127205
2016-11-10,0.001132217
2016-11-11,0.001409519
2016-11-12,0.000960509
2016-11-13,0.001045238
2016-11-14,0.001200236
2016-11-15,0.001176442
2016-11-16,0.001104627
2016-11-17,0.000986698
2016-11-18,0.001047251
2016-11-19,0.000862209
2016-11-20,0.001003308
2016-11-21,0.001106778
2016-11-22,0.001220379
2016-11-23,0.002514335
2016-11-24,0.001814318
2016-11-25,0.001785817
2016-11-26,0.002229068
2016-11-27,0.003397708
2016-11-28,0.003588135
2016-11-29,0.003071064
2016-11-30,0.001108062
2016-12-01,0.000856733
2016-12-02,0.000882395
2016-12-03,0.000806105
2016-12-04,0.00084167
2016-12-05,0.000999917
2016-12-06,0.001084674
2016-12-07,0.0011021
2016-12-08,0.024097661
2016-12-09,0.000991666
2016-12-10,0.000915531
2016-12-11,0.00115675
2016-12-12,0.000995631
2016-12-13,0.000972472
2016-12-14,0.001094128
2016-12-15,0.001096351
2016-12-16,0.000962481
2016-12-17,0.001025209
2016-12-18,0.000868602
2016-12-19,0.001156817
2016-12-20,0.001384349
2016-12-21,0.001729899
2016-12-22,0.001248498
2016-12-23,0.000952697
2016-12-24,0.000823455
2016-12-25,0.000756038
2016-12-26,0.000730092
2016-12-27,0.001164397
2016-12-28,0.000999006
2016-12-29,0.001277495
2016-12-30,0.001412418
2016-12-31,0.000914965
2017-01-01,0.000795071
2017-01-02,0.000891086
2017-01-03,0.001274907
2017-01-04,0.001229178
2017-01-05,0.001094365
2017-01-06,0.000997714
2017-01-07,0.000945476
2017-01-08,0.001041202
2017-01-09,0.001130023
2017-01-10,0.001233252
2017-01-11,0.001097489
2017-01-12,0.001173745
2017-01-13,0.001126444
2017-01-14,0.000912161
2017-01-15,0.000944834
2017-01-16,0.001030117
2017-01-17,0.001258073
2017-01-18,0.001074109
2017-01-19,0.000973267
2017-01-20,0.001080021
2017-01-21,0.000971779
2017-01-22,0.001131433
2017-01-23,0.00111053
2017-01-24,0.001308396
2017-01-25,0.001200098
2017-01-26,0.001145777
2017-01-27,0.001134806
2017-01-28,0.001056515
2017-01-29,0.000982919
2017-01-30,0.00102601
2017-01-31,0.001017908
2017-02-01,0.00121502
2017-02-02,0.001127474
2017-02-03,0.001087903
2017-02-04,0.001037048
2017-02-05,0.001101398
2017-02-06,0.001132744
2017-02-07,0.001460761
2017-02-08,0.0013769
2017-02-09,0.001292645
2017-02-10,0.0014653
2017-02-11,0.001217134
2017-02-12,0.001276075
2017-02-13,0.001933076
2017-02-14,0.001581277
2017-02-15,0.002845102
2017-02-16,0.001241685
2017-02-17,0.00123847
2017-02-18,0.001428595
2017-02-19,0.00116002
2017-02-20,0.001305631
2017-02-21,0.001743672
2017-02-22,0.00164133
2017-02-23,0.001386265
2017-02-24,0.001320534
2017-02-25,0.001413432
2017-02-26,0.001236019
2017-02-27,0.001438968
2017-02-28,0.001597223
2017-03-01,0.001761005
2017-03-02,0.001731597
2017-03-03,0.001480267
2017-03-04,0.001362139
2017-03-05,0.001374411
2017-03-06,0.001325609
2017-03-07,0.001407879
2017-03-08,0.001285378
2017-03-09,0.001612758
2017-03-10,0.001787905
2017-03-11,0.001533126
2017-03-12,0.001570617
2017-03-13,0.002409766
2017-03-14,0.002391193
