Date,mining/marketcap_thermocap_ratio
2016-03-04,9.82561619277444e-07
2016-03-05,1.1384384308157377e-06
2016-03-06,1.107531781861274e-06
2016-03-07,9.995321264895562e-07
2016-03-08,9.147794213020063e-07
2016-03-09,9.707941927692922e-07
2016-03-10,1.0238992727847775e-06
2016-03-11,1.0418669168191967e-06
2016-03-12,1.1107837727630005e-06
2016-03-13,1.175192671554385e-06
2016-03-14,1.0800948487217407e-06
2016-03-15,9.90092240614197e-07
2016-03-16,1.000113283157987e-06
2016-03-17,8.498954481592166e-07
2016-03-18,7.299311281713753e-07
2016-03-19,7.371765227781067e-07
2016-03-20,7.014805099412679e-07
2016-03-21,7.335706774486221e-07
2016-03-22,7.566707652993618e-07
2016-03-23,7.561959515441612e-07
2016-03-24,7.092053421337576e-07
2016-03-25,6.577941608021378e-07
2016-03-26,6.51309830981946e-07
2016-03-27,6.256796647100965e-07
2016-03-28,6.451827770946186e-07
2016-03-29,6.511694009624049e-07
2016-03-30,6.507424972866395e-07
2016-03-31,6.357023726176169e-07
2016-04-01,6.163247645553979e-07
2016-04-02,5.982012698359551e-07
2016-04-03,5.891712839249309e-07
2016-04-04,5.672413491630103e-07
2016-04-05,5.345077391647585e-07
2016-04-06,5.196316682762653e-07
2016-04-07,4.96278089835999e-07
2016-04-08,4.6429909179984705e-07
2016-04-09,4.4492907465776797e-07
2016-04-10,3.951695116031106e-07
2016-04-11,3.8433762448050217e-07
2016-04-12,3.5289503435529636e-07
2016-04-13,3.4541697927528145e-07
2016-04-14,3.6705259648015454e-07
2016-04-15,3.6098942943856835e-07
2016-04-16,3.546416646287428e-07
2016-04-17,3.902543629352714e-07
2016-04-18,3.87227906258288e-07
2016-04-19,3.7271123047199844e-07
2016-04-20,3.522290210424279e-07
2016-04-21,3.4262559229126916e-07
2016-04-22,3.207389309627369e-07
2016-04-23,3.18252210036983e-07
2016-04-24,3.223765713732642e-07
2016-04-25,3.0451824380990983e-07
2016-04-26,2.825384781039286e-07
2016-04-27,2.8950754350042504e-07
2016-04-28,2.7912507006815285e-07
2016-04-29,2.783877504794424e-07
2016-04-30,3.033612621117135e-07
2016-05-01,3.1717150033605674e-07
2016-05-02,3.441962441899842e-07
2016-05-03,3.4297892690238527e-07
2016-05-04,3.376040671854106e-07
2016-05-05,3.3450961698848573e-07
2016-05-06,3.359480006648995e-07
2016-05-07,3.212826038226341e-07
2016-05-08,3.163282150353528e-07
2016-05-09,3.238553771924586e-07
2016-05-10,3.1853358412685426e-07
2016-05-11,3.2628064470155275e-07
2016-05-12,3.4165844607860786e-07
2016-05-13,3.4345375801597445e-07
2016-05-14,3.30770888613866e-07
2016-05-15,3.2442411993049603e-07
2016-05-16,3.28960321000868e-07
2016-05-17,3.6288840270262936e-07
2016-05-18,3.979440234253221e-07
2016-05-19,4.2151573929296025e-07
2016-05-20,4.2295039227274694e-07
2016-05-21,3.9452911345404554e-07
2016-05-22,4.048212526055878e-07
2016-05-23,3.9931048377198805e-07
2016-05-24,3.6678061910748184e-07
2016-05-25,3.4845823758957537e-07
2016-05-26,3.449215744570806e-07
2016-05-27,3.11248885350816e-07
2016-05-28,3.0830290807174606e-07
2016-05-29,3.2638699947580294e-07
2016-05-30,3.310426272981567e-07
2016-05-31,3.4478683168023485e-07
2016-06-01,3.609342115657419e-07
2016-06-02,3.550027729868541e-07
2016-06-03,3.471937900012754e-07
2016-06-04,3.445901027983736e-07
2016-06-05,3.411434729116596e-07
2016-06-06,3.403916531491053e-07
2016-06-07,3.4139718512076687e-07
2016-06-08,3.4708505508869544e-07
2016-06-09,3.421037424692177e-07
2016-06-10,3.3263781781843327e-07
2016-06-11,3.231857505854679e-07
2016-06-12,3.347811874776667e-07
2016-06-13,3.7486350340558586e-07
2016-06-14,4.055471809950573e-07
2016-06-15,4.0478707324164197e-07
2016-06-16,4.2859877163848444e-07
2016-06-17,3.7631787583866155e-07
2016-06-18,2.723268490531325e-07
2016-06-19,2.59710854988969e-07
2016-06-20,2.4526181618312634e-07
2016-06-21,2.4956551603438527e-07
2016-06-22,2.9657700662968166e-07
2016-06-23,2.6951839033449366e-07
2016-06-24,2.827093680219434e-07
2016-06-25,2.8756200521499923e-07
2016-06-26,2.791913638656716e-07
2016-06-27,2.7569455598362454e-07
2016-06-28,2.60219086649159e-07
2016-06-29,2.3656654521858563e-07
2016-06-30,2.4069876713483595e-07
2016-07-01,2.3147225053230494e-07
2016-07-02,2.2734251101626451e-07
2016-07-03,2.2333847688362407e-07
2016-07-04,2.1625878387921433e-07
2016-07-05,1.9856005943165908e-07
2016-07-06,2.0628302225975075e-07
2016-07-07,1.8710069618741328e-07
2016-07-08,1.9347143022537143e-07
2016-07-09,2.0454693202149233e-07
2016-07-10,1.975238381153488e-07
2016-07-11,1.9171291211916614e-07
2016-07-12,1.916287949165675e-07
2016-07-13,1.8900702346314012e-07
2016-07-14,1.9509251634698176e-07
2016-07-15,2.0988344669930053e-07
2016-07-16,2.0499269765742817e-07
2016-07-17,1.9765807270875236e-07
2016-07-18,1.9657288224624695e-07
2016-07-19,1.9364291707946802e-07
2016-07-20,2.1105283305424447e-07
2016-07-21,2.1182943817821903e-07
2016-07-22,2.265800035677181e-07
2016-07-23,2.412635832036149e-07
2016-07-24,2.2061833470689142e-07
2016-07-25,2.164094701302874e-07
2016-07-26,2.1134482381317088e-07
2016-07-27,2.0429974595013875e-07
2016-07-28,2.0531465485636233e-07
2016-07-29,2.0374828353414615e-07
2016-07-30,2.0263757634781416e-07
2016-07-31,1.9214633152982495e-07
2016-08-01,1.8040479893788884e-07
